title,department,location,posting_date,remote,region
Account Director,Professional Services,"Lyndhurst, NJ",Not specified,No,United States
Account Partner,Sales,"Basel, Switzerland",Not specified,No,Europe
Account Partner,Sales,"Paris, France",Not specified,No,Europe
Account Partner,Sales,"Zürich, Switzerland",Not specified,No,Europe
Account Partner,Sales,"Zürich, Switzerland",Not specified,No,Europe
Account Partner,Sales,"Frankfurt, Germany",Not specified,No,Europe
Account Partner,Sales,"Munich, Germany",Not specified,No,Europe
Account Partner,Sales,"Bern, Switzerland",Not specified,No,Europe
Account Partner,Sales,"Basel, Switzerland",Not specified,No,Europe
Account Partner,Sales,"Zürich, Switzerland",Not specified,No,Europe
Account Partner,Sales,"Basel, Switzerland",Not specified,No,Europe
Account Partner,Sales,"Copenhagen, Denmark",Not specified,No,Europe
Account Partner (Global Accounts),Sales,"Zürich, Switzerland",Not specified,No,Europe
Account Partner (Global Accounts),Sales,"Basel, Switzerland",Not specified,No,Europe
Account Partner - China CRO,Sales,"Shanghai, China",Not specified,No,Asia Pacific
Account Partner - Commercial,Sales,"Tokyo, Japan",Not specified,No,Asia Pacific
Account Partner - Commercial MedTech,Sales,"Frankfurt, Germany",Not specified,No,Europe
Account Partner - Commercial MedTech,Sales,"Paris, France",Not specified,No,Europe
Account Partner - CRO,Sales,"Shanghai, China",Not specified,No,Asia Pacific
Account Partner - Crossix Audiences,Sales,"Boston, MA",Not specified,No,United States
Account Partner - Crossix Audiences,Sales,"Philadelphia, PA",Not specified,No,United States
Account Partner - Crossix Audiences,Sales,"New York City, NY",Not specified,No,United States
Account Partner - DACH,Sales,"Frankfurt, Germany",Not specified,No,Europe
Account Partner - DACH,Sales,"London, United Kingdom",Not specified,No,Europe
Account Partner - Data Cloud Basics,Sales,"Boston, MA",Not specified,No,United States
Account Partner - Data Cloud Basics,Sales,"New York City, NY",Not specified,No,United States
Account Partner - Data Cloud Basics,Sales,"Boston, MA",Not specified,No,United States
Account Partner - LIMS,Sales,"Frankfurt, Germany",Not specified,No,Europe
Account Partner - LIMS,Sales,"Paris, France",Not specified,No,Europe
Account Partner - LIMS,Sales,"London, United Kingdom",Not specified,No,Europe
Account Partner - Marketing Analytics,Sales,"Boston, MA",Not specified,No,United States
Account Partner - Marketing Analytics,Sales,"Newark, NJ",Not specified,No,United States
Account Partner - Marketing Analytics,Sales,"Philadelphia, PA",Not specified,No,United States
Account Partner - Marketing Analytics,Sales,"New York City, NY",Not specified,No,United States
Account Partner - MedTech,Sales,"Chicago, IL",Not specified,No,United States
Account Partner - North America OpenData Email,Sales,"Boston, MA",Not specified,No,United States
Account Partner - North America OpenData Email,Sales,"Philadelphia, PA",Not specified,No,United States
Account Partner - North America OpenData Email,Sales,"Boston, MA",Not specified,No,United States
Account Partner - R&D,Sales,"Tokyo, Japan",Not specified,No,Asia Pacific
Account Partner - R&D,Sales,"Boston, MA",Not specified,No,United States
Account Partner - R&D,Sales,"San Francisco, CA",Not specified,No,United States
Account Partner - R&D,Sales,"New York City, NY",Not specified,No,United States
Account Partner - R&D,Sales,"Raleigh, NC",Not specified,No,United States
Account Partner - R&D and Quality,Sales,"Suzhou, China",Not specified,No,Asia Pacific
Account Partner - Site Solutions - Europe,Sales,"Berlin, Germany",Not specified,No,Europe
Account Partner - Site Solutions - Europe,Sales,"Amsterdam, Netherlands",Not specified,No,Europe
Account Partner - Site Solutions - Europe,Sales,"Copenhagen, Denmark",Not specified,No,Europe
Account Partner - Vault Basics,Sales,"San Francisco, CA",Not specified,No,United States
Account Partner - Vault Basics,Sales,"Philadelphia, PA",Not specified,No,United States
Account Partner - Vault Basics,Sales,"Boston, MA",Not specified,No,United States
Account Partner - Veeva Basics - DACH,Sales,"Berlin, Germany",Not specified,No,Europe
Account Partner - Veeva Basics - DACH,Sales,"Frankfurt, Germany",Not specified,No,Europe
Account Partner - Veeva Commercial Basics,Sales,"Lyndhurst, NJ",Not specified,No,United States
Account Partner - Veeva Commercial Basics,Sales,"Boston, MA",Not specified,No,United States
Account Partner - Veeva Commercial Basics,Sales,"Boston, MA",Not specified,No,United States
Account Partner - North America Data Cloud,Sales,"Boston, MA",Not specified,No,United States
Account Partner - North America Data Cloud,Sales,"Philadelphia, PA",Not specified,No,United States
Account Partner - North America Data Cloud,Sales,"Boston, MA",Not specified,No,United States
Agency Partner,Sales,"Lyndhurst, NJ",Not specified,No,United States
Agency Partner,Sales,"Philadelphia, PA",Not specified,No,United States
Agency Partner,Sales,"New York City, NY",Not specified,No,United States
AI Data Engineer,Engineering,"Toronto, Canada",Not specified,No,Canada
