date,total_jobs,top_departments
2026-01-27,14,SALES: 3; SERVICES: 3; PEOPLE & ENVIRONMENT: 2; RESEARCH & DEVELOPMENT: 2; FINANCE: 2
2026-01-28,14,SALES: 5; FINANCE: 3; PEOPLE & ENVIRONMENT: 2; INFORMATION TECHNOLOGY: 1; RESEARCH & DEVELOPMENT: 1
2026-01-29,14,SALES: 9; SERVICES: 4; MARKETING & COMMUNICATIONS: 1
2026-01-30,15,SERVICES: 7; RESEARCH & DEVELOPMENT: 3; SALES: 3; INFORMATION TECHNOLOGY: 1; FINANCE: 1
2026-01-31,15,SERVICES: 6; SALES: 3; RESEARCH & DEVELOPMENT: 3; INFORMATION TECHNOLOGY: 2; FINANCE: 1
2026-02-01,15,SERVICES: 6; SALES: 3; RESEARCH & DEVELOPMENT: 3; INFORMATION TECHNOLOGY: 2; FINANCE: 1
2026-02-02,15,SALES: 4; SERVICES: 4; RESEARCH & DEVELOPMENT: 3; INFORMATION TECHNOLOGY: 2; PEOPLE & ENVIRONMENT: 1
2026-02-03,15,RESEARCH & DEVELOPMENT: 5; SALES: 4; MARKETING & COMMUNICATIONS: 2; FINANCE: 1; SERVICES: 1
2026-02-04,15,SALES: 4; RESEARCH & DEVELOPMENT: 4; FINANCE: 2; INDUSTRY: 2; MARKETING & COMMUNICATIONS: 2
2026-02-05,15,FINANCE: 5; SALES: 4; INFORMATION TECHNOLOGY: 2; INDUSTRY: 2; RESEARCH & DEVELOPMENT: 1
2026-02-06,15,SALES: 4; FINANCE: 4; RESEARCH & DEVELOPMENT: 3; INFORMATION TECHNOLOGY: 2; MARKETING & COMMUNICATIONS: 1
2026-02-07,15,SALES: 5; RESEARCH & DEVELOPMENT: 4; FINANCE: 2; SERVICES: 2; MARKETING & COMMUNICATIONS: 1
2026-02-08,15,SALES: 5; RESEARCH & DEVELOPMENT: 4; FINANCE: 2; SERVICES: 2; MARKETING & COMMUNICATIONS: 1
