title,department,location,posting_date,remote,region,url
Apply for Future Consideration,Not specified,All Locations,2025-12-22T10:54:55-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/4049863007
Client Success Manager,Not specified,Singapore,2026-01-13T10:09:39-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/5021573007
Director of Operations,Not specified,"Dubai, United Arab Emirates",2026-01-20T09:01:46-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/4970747007
Flash Pass Program Manager - Six Flags Great America,Not specified,"Gurnee, Illinois, United States",2026-01-12T13:33:36-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/5019880007
Product Marketing Manager,Not specified,United States,2026-02-02T07:34:32-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/5029484007
Program Manager - Carowinds,Not specified,"Charlotte, North Carolina, United States",2026-02-02T15:23:57-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/5039109007
Program Manager - Kings Dominion,Not specified,"Doswell, Virginia, United States",2026-02-03T13:19:19-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/5039136007
Sales Director - Live Events,Not specified,United States,2026-01-28T15:50:05-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/5034430007
Senior Software Engineer,Not specified,"Milan, Italy",2026-01-21T09:35:30-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/4917848007
Senior Software Engineer,Not specified,"London, England, United Kingdom",2025-12-22T10:54:55-05:00,No,Not specified,https://job-boards.greenhouse.io/accesso/jobs/4967481007
