date,total_jobs,top_departments
2026-02-20,10,Not specified: 10
2026-02-21,10,Not specified: 10
2026-02-22,10,Not specified: 10
2026-02-23,10,Not specified: 10
2026-02-24,10,Not specified: 10
2026-02-25,10,Not specified: 10
2026-02-26,9,Not specified: 9
2026-02-27,9,Not specified: 9
2026-02-28,9,Not specified: 9
2026-03-01,9,Not specified: 9
2026-03-02,9,Not specified: 9
2026-03-03,9,Not specified: 9
2026-03-04,9,Not specified: 9
2026-03-05,8,Not specified: 8
2026-03-06,8,Not specified: 8
2026-03-07,8,Not specified: 8
2026-03-08,8,Not specified: 8
2026-03-09,8,Not specified: 8
2026-03-10,8,Not specified: 8
2026-03-11,8,Not specified: 8
2026-03-12,8,Not specified: 8
2026-03-13,8,Not specified: 8
2026-03-14,7,Not specified: 7
2026-03-15,7,Not specified: 7
