date,total_jobs,top_departments
2026-01-03,32,Not specified: 32
2026-01-05,32,Not specified: 32
2026-01-14,31,Not specified: 31
2026-01-21,30,Not specified: 30
2026-01-27,31,Not specified: 31
2026-01-28,31,Not specified: 31
2026-01-29,33,Not specified: 33
2026-01-30,36,Not specified: 36
2026-01-31,35,Not specified: 35
2026-02-01,35,Not specified: 35
2026-02-02,35,Not specified: 35
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,44,Not specified: 44
2026-02-08,44,Not specified: 44
2026-02-09,44,Not specified: 44
2026-02-10,48,Not specified: 48
2026-02-11,50,Not specified: 50
2026-02-12,52,Not specified: 52
2026-02-13,51,Not specified: 51
2026-02-14,51,Not specified: 51
2026-02-15,51,Not specified: 51
