date,total_jobs,top_departments
2026-01-14,23,Not specified: 23
2026-01-21,25,Not specified: 25
2026-01-27,25,Not specified: 25
2026-01-28,25,Not specified: 25
2026-01-29,21,Not specified: 21
2026-01-30,21,Not specified: 21
2026-01-31,20,Not specified: 20
2026-02-01,20,Not specified: 20
2026-02-02,20,Not specified: 20
2026-02-03,20,Not specified: 20
2026-02-04,19,Not specified: 19
2026-02-05,20,Not specified: 20
2026-02-06,20,Not specified: 20
2026-02-07,20,Not specified: 20
2026-02-08,20,Not specified: 20
2026-02-09,20,Not specified: 20
2026-02-10,20,Not specified: 20
2026-02-11,20,Not specified: 20
2026-02-12,20,Not specified: 20
