date,total_jobs,top_departments
2026-01-03,2,Not specified: 2
2026-01-05,2,Not specified: 2
2026-01-14,32,Not specified: 32
2026-01-21,36,Not specified: 36
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,44,Not specified: 44
2026-01-30,44,Not specified: 44
2026-01-31,43,Not specified: 43
2026-02-01,43,Not specified: 43
2026-02-02,43,Not specified: 43
2026-02-03,43,Not specified: 43
2026-02-04,43,Not specified: 43
2026-02-05,46,Not specified: 46
2026-02-06,46,Not specified: 46
2026-02-07,47,Not specified: 47
2026-02-08,47,Not specified: 47
2026-02-09,47,Not specified: 47
2026-02-10,47,Not specified: 47
2026-02-11,48,Not specified: 48
2026-02-12,47,Not specified: 47
2026-02-13,47,Not specified: 47
2026-02-14,48,Not specified: 48
2026-02-15,48,Not specified: 48
2026-02-16,48,Not specified: 48
2026-02-20,49,Not specified: 49
2026-02-21,49,Not specified: 49
2026-02-22,49,Not specified: 49
2026-02-23,49,Not specified: 49
2026-02-24,48,Not specified: 48
2026-02-25,48,Not specified: 48
2026-02-26,48,Not specified: 48
2026-02-27,47,Not specified: 47
2026-02-28,39,Not specified: 39
2026-03-01,39,Not specified: 39
2026-03-02,39,Not specified: 39
2026-03-03,39,Not specified: 39
2026-03-04,38,Not specified: 38
2026-03-05,37,Not specified: 37
2026-03-06,39,Not specified: 39
2026-03-07,39,Not specified: 39
2026-03-08,39,Not specified: 39
2026-03-09,39,Not specified: 39
2026-03-10,40,Not specified: 40
