title,department,openings,locations,all_locations,regions,remote_available
Senior Software Engineer,Not specified,13,"California, USA - Remote; EMEA - Norway - Oslo - Tjuvholmen Alle; EMEA - Poland - Kraków - Lubomirskiego (and 10 more)","California, USA - Remote | EMEA - Norway - Oslo - Tjuvholmen Alle | EMEA - Poland - Kraków - Lubomirskiego | Kraków, POL | Norway - Oslo | Pune, IND | Singapore, SGP | Toronto, ON, CAN",Not specified,Yes
Senior Software Developer,Not specified,9,13 Locations; 2 Locations; 3 Locations (and 6 more),"13 Locations | 2 Locations | 3 Locations | 9 Locations | AMER - Canada - Quebec - Montreal - 10 Rue Duke | Montreal, QC, CAN | Toronto, ON, CAN | Vancouver, BC, CAN",Not specified,No
Principal Software Engineer,Not specified,7,EMEA - Netherlands - Offsite/Home; EMEA - Norway - Oslo - Tjuvholmen Alle; EMEA - Spain - Barcelona - Tower B2 (and 4 more),"EMEA - Netherlands - Offsite/Home | EMEA - Norway - Oslo - Tjuvholmen Alle | EMEA - Spain - Barcelona - Tower B2 | Norway - Oslo | Portland, OR, USA | Pune, IND | Singapore, SGP",Not specified,No
"Account Technical Lead (ATL), Enterprise Accounts",Not specified,6,"APAC - Japan - Tokyo - Toranomon Hills Mori Tower; Brisbane, AUS; Japan - Remote (and 3 more)","APAC - Japan - Tokyo - Toranomon Hills Mori Tower | Brisbane, AUS | Japan - Remote",Not specified,Yes
Senior Associate Digital Renewal Representative,Not specified,6,"Costa Rica - Remote; Denver, CO, USA; Mexico City, MEX (and 3 more)","Costa Rica - Remote | Denver, CO, USA | Mexico City, MEX | Sao Paulo, BRA | Toronto, ON, CAN",Not specified,Yes
Senior Associate License Compliance Representative,Not specified,6,"5 Locations; Amman, JOR; Costa Rica - Remote (and 3 more)","5 Locations | Amman, JOR | Costa Rica - Remote | Kuala Lumpur, MYS | Makati City, PHL | Mexico City, MEX",Not specified,Yes
Software Architect,Not specified,5,17 Locations; 7 Locations; EMEA - United Kingdom - Offsite/Home (and 2 more),"17 Locations | 7 Locations | EMEA - United Kingdom - Offsite/Home | Pune, IND | Toronto, ON, CAN",Not specified,No
Software Engineer,Not specified,5,"Bengaluru, IND; EMEA - Poland - Kraków - Lubomirskiego; Singapore, SGP (and 2 more)","Bengaluru, IND | EMEA - Poland - Kraków - Lubomirskiego | Singapore, SGP",Not specified,No
Data Engineer,Not specified,4,"Bengaluru, IND; Kraków, POL; Toronto, ON, CAN (and 1 more)","Bengaluru, IND | Kraków, POL | Toronto, ON, CAN",Not specified,No
Digital Sales Representative,Not specified,4,"Kuala Lumpur, MYS (and 1 more)","Kuala Lumpur, MYS",Not specified,No
Software Developer,Not specified,4,13 Locations; 2 Locations; 8 Locations (and 1 more),"13 Locations | 2 Locations | 8 Locations | Toronto, ON, CAN",Not specified,No
"Sr Associate, Digital Renewal Sales Rep",Not specified,4,"North Sydney, AUS; Seoul, KOR (and 1 more)","North Sydney, AUS | Seoul, KOR",Not specified,No
Customer Success Advisor - ASEAN,Not specified,3,Malaysia - Remote,Malaysia - Remote,Not specified,Yes
Digital Renewals Sales Representative,Not specified,3,"AMER - Costa Rica - SanJose - Belen; Kuala Lumpur, MYS","AMER - Costa Rica - SanJose - Belen | Kuala Lumpur, MYS",Not specified,No
