date,total_jobs,top_departments
2026-01-03,40,Not specified: 40
2026-01-05,40,Not specified: 40
2026-01-14,40,Not specified: 40
2026-01-21,40,Not specified: 40
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,604,Not specified: 604
2026-02-08,603,Not specified: 603
2026-02-09,597,Not specified: 597
2026-02-10,622,Not specified: 622
2026-02-11,609,Not specified: 609
2026-02-12,608,Not specified: 608
2026-02-13,612,Not specified: 612
2026-02-14,618,Not specified: 618
2026-02-15,618,Not specified: 618
2026-02-16,612,Not specified: 612
