date,total_jobs,top_departments
2026-02-20,21,Not specified: 20; Marketing: 1
2026-02-21,21,Not specified: 20; Marketing: 1
2026-02-22,21,Not specified: 20; Marketing: 1
2026-02-23,21,Not specified: 20; Marketing: 1
2026-02-24,21,Not specified: 20; Marketing: 1
2026-02-25,21,Not specified: 20; Marketing: 1
2026-02-26,21,Not specified: 20; Marketing: 1
2026-02-27,21,Not specified: 20; Marketing: 1
2026-02-28,21,Not specified: 20; Marketing: 1
2026-03-01,21,Not specified: 20; Marketing: 1
2026-03-02,21,Not specified: 20; Marketing: 1
2026-03-03,21,Not specified: 20; Marketing: 1
2026-03-04,21,Not specified: 20; Marketing: 1
2026-03-05,21,Not specified: 20; Marketing: 1
2026-03-06,21,Not specified: 20; Marketing: 1
2026-03-07,21,Not specified: 20; Marketing: 1
2026-03-08,21,Not specified: 20; Marketing: 1
2026-03-09,21,Not specified: 20; Marketing: 1
2026-03-10,21,Not specified: 20; Marketing: 1
2026-03-11,21,Not specified: 20; Marketing: 1
2026-03-12,21,Not specified: 20; Marketing: 1
2026-03-13,21,Not specified: 20; Marketing: 1
2026-03-14,21,Not specified: 20; Marketing: 1
