title,department,openings,locations,all_locations,regions,remote_available
Business Development Representative,Not specified,2,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States | San Jose, California, United States",Not specified,No
Senior Marketing Operations Manager,Not specified,2,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Senior Product Marketing Manager,Not specified,2,"Draper, Utah, United States; San Jose, California, United States; Draper, Utah, United States; San Jose, California, United States; United States","Draper, Utah, United States; San Jose, California, United States | Draper, Utah, United States; San Jose, California, United States; United States",Not specified,No
" Senior Lead Product Manager, AI-Driven Approvals and Payments Experience",Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Account Executive - New Business,Not specified,1,United States,United States,Not specified,No
"Account Executive, Mid-Market Spend & Expense",Not specified,1,United States,United States,Not specified,No
Application Process Manager - SE,Not specified,1,"Draper, Utah, United States","Draper, Utah, United States",Not specified,No
Associate Account Executive - SMB,Not specified,1,United States,United States,Not specified,No
Associate Accounting Specialist - Network Growth,Not specified,1,"Draper, Utah, United States","Draper, Utah, United States",Not specified,No
Corporate Senior Account Executive - SE,Not specified,1,United States,United States,Not specified,No
Director of Alliance Partnerships,Not specified,1,United States,United States,Not specified,No
"Director, SOX & Governance",Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
Expansion Specialist CSM,Not specified,1,"Draper, Utah, United States","Draper, Utah, United States",Not specified,No
Facilitator - AI and Productivity,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Facilitator - Sales Methodology,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Finance Manager - GTM,Not specified,1,"Draper, Utah, United States","Draper, Utah, United States",Not specified,No
Fraud Strategy Data Scientist ,Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
"Gainsight Administrator, Revenue Operations",Not specified,1,"Draper, Utah, United States; San Jose, California, United States; United States","Draper, Utah, United States; San Jose, California, United States; United States",Not specified,No
Growth Account Executive - AP/AR,Not specified,1,"Draper, Utah, United States; San Jose, California, United States; United States","Draper, Utah, United States; San Jose, California, United States; United States",Not specified,No
Growth Associate Account Executive - AC,Not specified,1,United States,United States,Not specified,No
Lead Product Manager - Core Data Platform,Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
Lead Product Manager - Spend & Expense,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
"Manager, Corporate Sales - SE",Not specified,1,United States,United States,Not specified,No
"Manager, Sales Development",Not specified,1,"Draper, Utah, United States","Draper, Utah, United States",Not specified,No
Mid-Market Senior Account Executive - AC,Not specified,1,United States,United States,Not specified,No
Mid-Market Senior Account Executive - AC ,Not specified,1,United States,United States,Not specified,No
New Business Senior Account Executive - AC,Not specified,1,United States,United States,Not specified,No
Partner Marketing Manager,Not specified,1,"Draper, Utah, United States; San Jose, California, United States; United States","Draper, Utah, United States; San Jose, California, United States; United States",Not specified,No
Principal Software Engineer - Payments Platform  ,Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
Risk Strategy Data Scientist (Credit / Fraud),Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Sales Enablement Manager,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Senior AWS Network Engineer,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Senior Analyst,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Senior Cloud Engineer - Networking,Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
Senior Credit Strategy Data Scientist,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Senior Customer Experience Program Manager,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Senior Database Reliability Engineer,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
"Senior Director, People Partner(s)",Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
Senior Email & Lifecycle Marketing Manager,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
Senior Financial Analyst,Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
Senior Full-Stack Software Engineer,Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
"Senior Lead, Product Operations",Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
Senior Machine Learning Engineer,Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
"Senior Manager, Accounting Transformation",Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
"Senior Manager, Enterprise Data & Operations",Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
"Senior Manager, Finance",Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
"Senior Manager, Treasury - Capital Markets",Not specified,1,"San Jose, California, United States","San Jose, California, United States",Not specified,No
Senior Outsourced Service Operations Manager,Not specified,1,"Draper, Utah, United States","Draper, Utah, United States",Not specified,No
Senior Partner Operations Manager,Not specified,1,United States,United States,Not specified,No
Senior Product Designer,Not specified,1,"Draper, Utah, United States; San Jose, California, United States","Draper, Utah, United States; San Jose, California, United States",Not specified,No
