date,total_jobs,top_departments
2026-01-03,46,Not specified: 46
2026-01-05,46,Not specified: 46
2026-01-14,61,Not specified: 61
2026-01-21,72,Not specified: 72
2026-01-27,75,Not specified: 75
2026-01-28,75,Not specified: 75
2026-01-29,74,Not specified: 74
2026-01-30,73,Not specified: 73
2026-01-31,75,Not specified: 75
2026-02-01,75,Not specified: 75
2026-02-02,75,Not specified: 75
2026-02-03,74,Not specified: 74
2026-02-04,71,Not specified: 71
2026-02-05,70,Not specified: 70
2026-02-06,68,Not specified: 68
2026-02-07,70,Not specified: 70
2026-02-08,70,Not specified: 70
2026-02-09,70,Not specified: 70
