title,department,location,posting_date,remote,region,url
"Education Architect, Int",Not specified,2 Locations,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/London/Education-Architect--Int_260416
Key Account Director - Retail,Not specified,Dallas,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Retail-Account-Manager_252299
"IN-Sr Support Engineer 1 - Splunk, Monitoring, Observability, Azure, Zabbix, AppDynamics, Automation",Not specified,IND - Coimbatore (708),Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/IN-Sr-Support-Engineer-1---Splunk--Monitoring--Observability--Azure--Zabbix--AppDynamics--Automation_254575
"Lead Software Engineer - Devops, Azure, Scripting, Terraform, GitHub, Jenkins",Not specified,Bangalore,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Lead-Software-Engineer---Devops--Azure--Scripting--Terraform--GitHub--Jenkins_253292
"Lead Software Engineer (Java, Microservices & Cloud)",Not specified,2 Locations,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Lead-Software-Engineer_250199
Staff Data Scientist I - Supply Chain Operations,Not specified,Bangalore,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Staff-Data-Scientist-I---Python--R---ML_254153
Sr Instructional Designer - Learning,Not specified,2 Locations,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Sr-Instructional-Designer---Learning_260031
Senior Manager - Technical Accounting,Not specified,Dallas,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Senior-Manager---Technical-Accounting_254689
"Technical Program Manager, Cyber Trust",Not specified,Dallas,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Technical-Program-Manager--Cyber-Trust_260344
"Technical Architect - (Java,Rest Api,Sql,Unix)",Not specified,Pune - BY,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Pune---BY/Technical-Architect----Java-Rest-Api-Sql-Unix-_260103
"Forward Deployed Engineer - Python, AI & ML",Not specified,2 Locations,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Sr-Gen-AI-Engineer---Python--AI---ML_253883
Technical Program Manager - Enterprise Data Strategy & Enablement,Not specified,Dallas,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Technical-Program-Manager---Enterprise-Data-Strategy---Enablement_254100
Sr Technical Architect,Not specified,Monterrey,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Monterrey/Sr-Technical-Architect_253638
Principal Data Science Consultant - Supply Chain Operations Analytics,Not specified,2 Locations,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/IN-Principal-Data-Science-Consultant_254167-1
