date,total_jobs,top_departments
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,161,Not specified: 161
2026-02-08,161,Not specified: 161
2026-02-09,165,Not specified: 165
2026-02-10,157,Not specified: 157
2026-02-11,158,Not specified: 158
2026-02-12,160,Not specified: 160
2026-02-13,162,Not specified: 162
2026-02-14,161,Not specified: 161
2026-02-15,161,Not specified: 161
2026-02-16,162,Not specified: 162
