title,department,openings,locations,all_locations,regions,remote_available
Application Architect,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Associate Business Systems Analyst,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
"Associate Manager, Power Platforms Automation",Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Audit Specialist,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Automation Engineer Intern - Parts Summer 2026,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Business Data Analyst,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Casualty Sr. Solutions Engineer,Not specified,1,"Virtual, USA","Virtual, USA",Not specified,No
Client Solutions Advisor,Not specified,1,2 Locations,2 Locations,Not specified,No
"Director, HR Business Partner",Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
"Director, Product Management - Outbound Subrogation",Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
ELEVATE Advisor,Not specified,1,"Virtual, USA","Virtual, USA",Not specified,No
ELEVATE Specialist,Not specified,1,"Virtual, USA","Virtual, USA",Not specified,No
Employee Relations Specialist,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Inside Sales Associate,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Inside Sales Representative,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Parts Implementation Specialist,Not specified,1,"Sioux Falls, SD","Sioux Falls, SD",Not specified,No
Platform Engineering Intern - Cloud & Infrastructure Summer 2026,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Product Analyst Intern Summer 2026,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Product Manager - Casualty,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Product Operations Manager,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
R&D Intern,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Regional Business Manager,Not specified,1,3 Locations,3 Locations,Not specified,No
SRE Intern Summer 2026,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Site Reliability Engineer - AWS,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Software Engineer Intern - Parts Summer 2026,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Software Engineer Intern – Valuation Summer 2026,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
"Team Lead, Knowledge Management",Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Technical Accounting Lead,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
"Vehicle Inventory Rep & Auditor (East Syracuse, NY)",Not specified,1,"Syracuse, NY","Syracuse, NY",Not specified,No
"Vehicle Inventory Rep & Auditor (Flint, MI)",Not specified,1,"Flint, MI","Flint, MI",Not specified,No
"Vehicle Inventory Rep & Auditor (Fort Myers, FL)",Not specified,1,"Fort Myers, FL","Fort Myers, FL",Not specified,No
"Vehicle Inventory Rep & Auditor (Lagrange/Columbus, GA)",Not specified,1,2 Locations,2 Locations,Not specified,No
"Vehicle Inventory Rep & Auditor (Limerick/West Chester, PA)",Not specified,1,2 Locations,2 Locations,Not specified,No
"Vehicle Inventory Rep & Auditor (Missoula, MT)",Not specified,1,"Missoula, MT","Missoula, MT",Not specified,No
"Vehicle Inventory Rep & Auditor (Newport News/Hampton, VA)",Not specified,1,2 Locations,2 Locations,Not specified,No
"Vehicle Inventory Rep & Auditor (Omaha, NE)",Not specified,1,"Omaha, NE","Omaha, NE",Not specified,No
"Vehicle Inventory Rep & Auditor (Seattle, WA)",Not specified,1,"Seattle, WA","Seattle, WA",Not specified,No
"Vehicle Inventory Rep & Auditor (Syracuse, NY)",Not specified,1,"Syracuse, NY","Syracuse, NY",Not specified,No
"Vehicle Inventory Rep & Auditor (Toledo, OH)",Not specified,1,"Toledo, OH","Toledo, OH",Not specified,No
"Vehicle Inventory Rep & Auditor (Westbrook, ME)",Not specified,1,"Westbrook, ME","Westbrook, ME",Not specified,No
"Vice President,  Strategic Client Partner",Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
"Vice President, APD Sales",Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
"Vice President, Fraud Sales",Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
