title,department,location,posting_date,remote,region,url
"Team Lead, Knowledge Management",Not specified,"Chicago (Green St), IL",Posted Yesterday,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Chicago-Green-St-IL/Team-Lead--Knowledge-Management_0014384
"Associate Manager, Power Platforms Automation",Not specified,"Chicago (Green St), IL",Posted Yesterday,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Chicago-Green-St-IL/Associate-Manager--Power-Platforms-Automation_0014385
"Vehicle Inventory Rep & Auditor (Newport News/Hampton, VA)",Not specified,2 Locations,Posted Yesterday,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Newport-News-VA/Vehicle-Inventory-Rep---Auditor--Newport-News-Hampton--VA-_0014389
Product Manager - Casualty,Not specified,"Chicago (Green St), IL",Posted 2 Days Ago,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Chicago-Green-St-IL/Product-Manager---Casualty_0014388
"Senior Analyst, IT Compliance",Not specified,"Chicago (Green St), IL",Posted 5 Days Ago,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Chicago-Green-St-IL/Senior-Analyst--IT-Compliance_0014379
OEM Network Specialist,Not specified,"Virtual, USA",Posted 6 Days Ago,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Virtual-USA/OEM-Network-Specialist_0014378
Senior Data Licensing Manager,Not specified,"Chicago (Green St), IL",Posted 6 Days Ago,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Chicago-Green-St-IL/Senior-Data-Licensing-Manager_0014372
"Vehicle Inventory Rep & Auditor (Flint, MI)",Not specified,"Flint, MI",Posted 7 Days Ago,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Flint-MI/Vehicle-Inventory-Rep---Auditor--Flint--MI-_0014282
"Vice President,  Strategic Client Partner",Not specified,"Chicago (Green St), IL",Posted 7 Days Ago,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Chicago-Green-St-IL/Vice-President---Strategic-Client-Partner_0014377
"Vehicle Audit Rep (Sacramento, CA)",Not specified,"Sacramento, CA",Posted 7 Days Ago,No,Not specified,https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Sacramento-CA/Vehicle-Audit-Rep--Sacramento--CA-_0014311
