date,total_jobs,top_departments
2026-01-03,20,Not specified: 20
2026-01-05,20,Not specified: 20
2026-01-14,30,Not specified: 30
2026-01-21,34,Not specified: 34
2026-01-27,36,Not specified: 36
2026-01-28,36,Not specified: 36
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,42,Not specified: 42
2026-02-08,41,Not specified: 41
2026-02-09,41,Not specified: 41
