title,department,location,posting_date,remote,region,url
R&A - Associate Principal Regulatory Writer (APRW) - Clinical,Support/Other,"Work at Home - EMEA, GB",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2342?lang=en-us
R&A- Senior Regulatory Writer- SRW (Clinical focus),Support/Other,"Work at Home - EMEA, GB",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2343?lang=en-us
Associate Director – Operations Business Partner,Not specified,Multiple,Not specified,Yes,Not specified,https://careers.certara.com/jobs/2376?lang=en-us
"Associate Scientist, SAS Programmer",Scientific,"Work at Home - EMEA, GB",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2377?lang=en-us
Regulatory Operations Specialist I,Scientific,Work at Home - US,Not specified,No,Not specified,https://careers.certara.com/jobs/2394?lang=en-us
Sr. Product Designer,Not specified,"Work at Home - US, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2375?lang=en-us
Regulatory Writer I,Not specified,HUN - Budapest,Not specified,Yes,Not specified,https://careers.certara.com/jobs/2368?lang=en-us
Tech Lead,Not specified,Multiple,Not specified,No,Not specified,https://careers.certara.com/jobs/2382?lang=en-us
"Director, Pharmacometrics",Scientific,Multiple,Not specified,Yes,Not specified,https://careers.certara.com/jobs/2070?lang=en-us
Senior (Financial) Accountant,Scientific,"NLD - Oss, Oss,, NL",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2362?lang=en-us
Senior Software Engineer,Not specified,"Work at Home - US, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2372?lang=en-us
"Senior Manager, Marketing Operations & Analytics",Not specified,Multiple,Not specified,Yes,Not specified,https://careers.certara.com/jobs/2319?lang=en-us
