title,department,openings,locations,all_locations,regions,remote_available
Application Scientist,Not specified,1,Multiple,Multiple,Not specified,Yes
"Associate Director, Pharmacometrics",Scientific,1,Multiple,Multiple,Not specified,Yes
Customer Success Manager,Support/Other,1,Multiple,Multiple,Not specified,No
Customer Success Manager,Not specified,1,Multiple,Multiple,Not specified,Yes
R&A - Associate Principal Regulatory Writer (APRW) - Clinical Focus,Support/Other,1,"Work at Home - EMEA, GB","Work at Home - EMEA, GB",Not specified,Yes
R&A Associate Principal Medical Writer- (MedPubs Focus),Support/Other,1,Multiple,Multiple,Not specified,Yes
R&A- Senior Regulatory Writer- SRW (Clinical focus),Support/Other,1,"Work at Home - EMEA, GB","Work at Home - EMEA, GB",Not specified,Yes
Research Scientist,Scientific,1,Multiple,Multiple,Not specified,Yes
Scientific Software Engineer,Software,1,HUN - Budapest,HUN - Budapest,Not specified,No
Senior DevOps Engineer,Not specified,1,"HUN - Budapest, Budapest,, HU","HUN - Budapest, Budapest,, HU",Not specified,No
Software Engineer,Software,1,"HUN - Budapest, Budapest,, HU","HUN - Budapest, Budapest,, HU",Not specified,Yes
Sr. Software Engineer,Not specified,1,"PA - Radnor, Radnor, Pennsylvania, US","PA - Radnor, Radnor, Pennsylvania, US",Not specified,Yes
