title,department,location,posting_date,remote,region,url
Sr. Project Coordinator – Operations,Not specified,Multiple,Not specified,Yes,Not specified,https://careers.certara.com/jobs/2255?lang=en-us
IT Operations Manager,Not specified,"Work at Home - US, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2380?lang=en-us
Senior Marketing Manager Integrated Evidence-Based Solutions,Not specified,"Work at Home - US, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2367?lang=en-us
"Senior Vice President, PBPK",Not specified,Multiple,Not specified,Yes,Not specified,https://careers.certara.com/jobs/2378?lang=en-us
Associate Director – Resource Management,Not specified,"MO - St. Louis, St. Louis, Missouri, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2374?lang=en-us
Senior Accountant,Not specified,"MO - St. Louis, St. Louis, Missouri, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2366?lang=en-us
Portfolio Account Manager- Phoenix,Not specified,"Work at Home - US, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2297?lang=en-us
Marketing Specialist,Not specified,"NC - Raleigh, Raleigh, North Carolina, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2359?lang=en-us
UX Designer,Not specified,Work at Home - US,Not specified,Yes,Not specified,https://careers.certara.com/jobs/2355?lang=en-us
Senior DevOps Engineer,Software,"Work at Home - US, US",Not specified,Yes,Not specified,https://careers.certara.com/jobs/2360?lang=en-us
