date,total_jobs,top_departments
2026-01-03,11,Not specified: 11
2026-01-05,11,Not specified: 11
2026-01-14,13,Not specified: 9; Support/Other: 3; Software: 1
2026-01-21,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-01-27,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-01-28,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-01-29,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-01-30,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-01-31,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-02-01,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-02-02,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-02-03,13,Not specified: 8; Support/Other: 3; Scientific: 2
2026-02-04,13,Not specified: 6; Scientific: 4; Support/Other: 3
2026-02-05,13,Not specified: 6; Scientific: 4; Support/Other: 3
2026-02-06,12,Not specified: 6; Scientific: 4; Support/Other: 2
2026-02-07,12,Not specified: 6; Scientific: 4; Support/Other: 2
2026-02-08,12,Not specified: 6; Scientific: 4; Support/Other: 2
2026-02-09,12,Not specified: 6; Scientific: 4; Support/Other: 2
2026-02-10,12,Not specified: 6; Scientific: 4; Support/Other: 2
2026-02-11,12,Not specified: 7; Scientific: 3; Support/Other: 2
2026-02-12,12,Not specified: 5; Scientific: 4; Support/Other: 3
2026-02-13,12,Not specified: 5; Scientific: 4; Support/Other: 3
2026-02-14,12,Not specified: 5; Scientific: 4; Support/Other: 3
