date,total_jobs,top_departments
2026-01-05,25,: 25
2026-01-14,25,: 25
2026-01-21,25,: 25
2026-01-27,25,: 25
2026-01-28,25,: 25
2026-01-29,25,: 25
2026-01-30,25,: 25
2026-01-31,25,: 25
2026-02-01,25,: 25
2026-02-02,25,: 25
2026-02-03,25,: 25
2026-02-04,25,: 25
2026-02-05,25,: 25
2026-02-06,25,: 25
2026-02-07,25,: 25
2026-02-08,25,: 25
2026-02-09,25,: 25
2026-02-10,25,: 25
2026-02-11,25,: 25
2026-02-12,25,: 25
2026-02-13,25,: 25
2026-02-14,25,: 25
2026-02-15,25,: 25
2026-02-16,25,: 25
2026-02-20,25,: 25
2026-02-21,25,: 25
