date,total_jobs,top_departments
2026-01-05,40,Not specified: 40
2026-01-14,40,Not specified: 40
2026-01-21,40,Not specified: 40
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,56,Not specified: 56
2026-02-08,56,Not specified: 56
2026-02-09,56,Not specified: 56
2026-02-10,55,Not specified: 55
2026-02-11,54,Not specified: 54
2026-02-12,54,Not specified: 54
2026-02-13,57,Not specified: 57
2026-02-14,56,Not specified: 56
2026-02-15,56,Not specified: 56
2026-02-16,56,Not specified: 56
2026-02-20,55,Not specified: 55
2026-02-22,54,Not specified: 54
