title,department,location,posting_date,remote,region,url
"Staff Software Engineer, Insights",Engineering,San Francisco,2026-01-20T23:09:25.566+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/8e4ec216-1ede-441d-bd57-518bb0e9b465
Enterprise Account Executive ,Sales,San Francisco,2024-06-26T06:17:00.275+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/67c794bd-e423-44b2-8b80-d7b759994cde
"Director, Enterprise Sales",Sales,San Francisco,2025-04-29T23:10:28.593+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/ca69cd40-646d-44a8-a052-6f40294b123b
Senior Research Engineer,Engineering,San Francisco,2025-08-22T16:44:59.640+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/c1ac7d78-028b-451e-a10a-48c3c11308ea
"Engineering Manager, Agent Orchestration",Engineering,San Francisco,2026-02-10T23:26:26.338+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/b295b323-3d01-4126-94c1-9fc7489ebdf0
"Director, Strategic Accounts",Sales,Remote,2024-11-12T04:20:48.743+00:00,Yes,Not specified,https://jobs.ashbyhq.com/decagon/f42e38fc-aa61-44c2-8e04-3e6d0ae5a7a3
Senior Solutions Engineer,Sales,San Francisco,2025-05-05T03:58:51.378+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/63dd8fb8-8c5b-44e4-8371-5ad453b56eb8
Product Manager,Product & Design,San Francisco,2026-01-24T00:06:02.143+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/d790a2a2-958d-4f49-96ed-adbd68d2e6ce
"Senior Software Engineer, Insights",Engineering,San Francisco,2026-01-20T23:11:28.123+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/5b1a6659-bddf-478d-b147-7e136434ba48
Head of Sales Enablement,Sales,San Francisco,2025-04-04T00:39:35.396+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/7848cb81-a35e-45e7-a625-6b04d55dd172
"Software Engineer, Agents",Engineering,New York City,2025-05-27T15:26:01.686+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/599cb90b-1d17-4509-a716-aa4f6952b43f
Senior Agent Product Manager,APM & Post Sales Operations,New York City,2025-08-26T16:28:37.878+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/e31c0645-7325-43b9-9d58-0acc40904240
Senior Agent Product Manager,APM & Post Sales Operations,London,2026-02-02T19:52:11.611+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/ee6c3e3f-b6ce-4945-a367-172d2b62ccf8
"Founder's Office, Founder Associate",Founder's Office,San Francisco,2026-01-29T00:16:05.577+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/c309c767-3553-42e1-81ec-73cc3b88c2ce
"Senior Technical Recruiter, Engineering",General & Administrative,San Francisco,2026-02-03T03:35:09.300+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/9efceeb7-9c23-481d-84c2-7c7fa1f59ef9
Talent Associate,General & Administrative,San Francisco,2025-11-19T16:59:18.266+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/198235e4-6729-452e-a248-7a4b8897f6b2
Field Engineer,Sales,New York City,2026-01-21T20:45:31.831+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/9ffd6359-d0ff-4ab6-b210-0fb05d2c459c
"Product Manager, Voice Agent",Product & Design,San Francisco,2026-01-22T21:02:29.641+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/0563a376-0881-48c6-92ae-d1ac4ee58765
"Senior Software Engineer, Infrastructure",Engineering,San Francisco,2026-01-28T00:35:18.869+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/7a22482c-e2d4-45b6-b364-89b63189a4ae
Senior GTM Recruiter,General & Administrative,San Francisco,2025-08-22T15:25:07.864+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/e19bc04b-5f18-4047-b3cf-7cb47a610948
AI Conversation Designer,APM & Post Sales Operations,Remote,2026-01-16T01:38:24.745+00:00,Yes,Not specified,https://jobs.ashbyhq.com/decagon/81130356-6933-4268-973f-38fd32be023f
Enterprise Account Executive ,Sales,New York City,2025-10-01T17:05:03.165+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/db2926db-4f62-49fc-bbcd-29825ada8d8c
Implementation Manager,APM & Post Sales Operations,San Francisco,2026-01-22T00:17:42.744+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/476e3152-3f9a-48ea-89bd-30516bccead7
Solutions Architect - Infrastructure ,Sales,San Francisco,2025-09-24T16:16:35.500+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/a81a1a50-d497-4dff-8105-c7a890310396
"Director of Solutions Engineering, Strategic",Sales,New York City,2025-10-01T22:46:54.304+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/c6201aeb-a752-4187-ac7f-654fc86bcdf8
"Director, Strategic Accounts",Sales,London,2025-10-29T01:20:53.568+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/12d4dcc2-0a5a-48ef-9c47-cc45eb9bc0dd
"Senior Software Engineer, Agent Development",Engineering,San Francisco,2026-02-02T18:36:46.379+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/88cb502d-f719-4221-ae3d-b8a38947c981
Sales Development Representative (SDR),Sales,San Francisco,2025-10-28T16:26:34.420+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/5bf50bc3-f676-4edc-90d2-bc8154d7ee84
"Staff Software Engineer, Agent Orchestration",Engineering,San Francisco,2025-12-01T18:08:25.931+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/7df0a996-5a9f-496f-9f8b-c302983765b2
"RVP, Strategic Sales",Sales,San Francisco,2026-02-09T17:41:41.387+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/dba0707e-0205-435c-bb73-e63ad5fee007
"Staff Software Engineer, Voice Agent",Engineering,San Francisco,2025-12-01T18:08:22.749+00:00,No,Not specified,https://jobs.ashbyhq.com/decagon/2351ca53-b7fd-4835-b967-4ae2b976b5b4
