title,department,openings,locations,all_locations,regions,remote_available
Senior Solutions Engineer,Sales,3,London; New York City; San Francisco,London | New York City | San Francisco,Not specified,No
Agent Product Manager,APM & Post Sales Operations,2,New York City; San Francisco,New York City | San Francisco,Not specified,No
"Director, Strategic Accounts",Sales,2,London; Remote,London | Remote,Not specified,Yes
Enterprise Account Executive ,Sales,2,New York City; San Francisco,New York City | San Francisco,Not specified,No
Senior Agent Product Manager,APM & Post Sales Operations,2,New York City; San Francisco,New York City | San Francisco,Not specified,No
"Senior Agent Product Manager, Strategic",APM & Post Sales Operations,2,New York City; San Francisco,New York City | San Francisco,Not specified,No
"Senior Software Engineer, Infrastructure",Engineering,2,New York City; San Francisco,New York City | San Francisco,Not specified,No
Talent Associate,General & Administrative,2,New York City; San Francisco,New York City | San Francisco,Not specified,No
AI Conversation Designer,APM & Post Sales Operations,1,Remote,Remote,Not specified,Yes
Agent Success Manager,APM & Post Sales Operations,1,San Francisco,San Francisco,Not specified,No
Agent Success Manager ,APM & Post Sales Operations,1,New York City,New York City,Not specified,No
Brand Designer,Marketing,1,San Francisco,San Francisco,Not specified,No
CX Enablement Lead,APM & Post Sales Operations,1,San Francisco,San Francisco,Not specified,No
Commercial Counsel,General & Administrative,1,San Francisco,San Francisco,Not specified,No
Contracts Negotiator,General & Administrative,1,San Francisco,San Francisco,Not specified,No
"Customer Engineer, Agent Builder",APM & Post Sales Operations,1,San Francisco,San Francisco,Not specified,No
"Director of Customer Engineering, Agent Builder",APM & Post Sales Operations,1,San Francisco,San Francisco,Not specified,No
"Director of Solutions Engineering, Strategic",Sales,1,New York City,New York City,Not specified,No
"Director, Enterprise Sales",Sales,1,San Francisco,San Francisco,Not specified,No
"Engineering Manager, Agent Orchestration",Engineering,1,San Francisco,San Francisco,Not specified,No
"Engineering Manager, Agents",Engineering,1,London,London,Not specified,No
"Engineering Manager, Insights",Engineering,1,San Francisco,San Francisco,Not specified,No
Enterprise Account Executive,Sales,1,London,London,Not specified,No
Executive Assistant (NYC),General & Administrative,1,New York City,New York City,Not specified,No
Field Marketing Coordinator,Marketing,1,San Francisco,San Francisco,Not specified,No
"Forward Deployed Engineer, Agent Builder",APM & Post Sales Operations,1,San Francisco,San Francisco,Not specified,No
"Founder's Office, Founder Associate",Founder's Office,1,San Francisco,San Francisco,Not specified,No
Head of Sales Enablement,Sales,1,San Francisco,San Francisco,Not specified,No
"Human Resources Generalist, EMEA",General & Administrative,1,London,London,Not specified,No
Implementation Manager,APM & Post Sales Operations,1,New York City,New York City,Not specified,No
Product Manager,Product & Design,1,San Francisco,San Francisco,Not specified,No
"Product Manager, Voice Agent",Product & Design,1,San Francisco,San Francisco,Not specified,No
Sales Development Representative (SDR),Sales,1,San Francisco,San Francisco,Not specified,No
Senior GTM Recruiter,General & Administrative,1,San Francisco,San Francisco,Not specified,No
"Senior GTM Recruiter, EMEA",General & Administrative,1,London,London,Not specified,No
"Senior Human Resource Business Partner, Engineering ",General & Administrative,1,San Francisco,San Francisco,Not specified,No
Senior Research Engineer,Engineering,1,San Francisco,San Francisco,Not specified,No
"Senior Software Engineer, Agent Development",Engineering,1,New York City,New York City,Not specified,No
"Senior Software Engineer, Agent Orchestration",Engineering,1,San Francisco,San Francisco,Not specified,No
"Senior Software Engineer, Agents",Engineering,1,New York City,New York City,Not specified,No
"Senior Software Engineer, Insights",Engineering,1,San Francisco,San Francisco,Not specified,No
"Senior Software Engineer, Voice Agent",Engineering,1,San Francisco,San Francisco,Not specified,No
"Software Engineer, Agents",Engineering,1,New York City,New York City,Not specified,No
"Software Engineer, Infrastructure",Engineering,1,San Francisco,San Francisco,Not specified,No
Solutions Architect - Infrastructure ,Sales,1,San Francisco,San Francisco,Not specified,No
Solutions Architect - Salesforce ,Sales,1,San Francisco,San Francisco,Not specified,No
Staff Research Engineer,Engineering,1,San Francisco,San Francisco,Not specified,No
"Staff Software Engineer, Agent Development",Engineering,1,New York City,New York City,Not specified,No
"Staff Software Engineer, Agent Orchestration",Engineering,1,San Francisco,San Francisco,Not specified,No
"Staff Software Engineer, Infrastructure",Engineering,1,San Francisco,San Francisco,Not specified,No
"Staff Software Engineer, Insights",Engineering,1,San Francisco,San Francisco,Not specified,No
"Staff Software Engineer, Voice Agent",Engineering,1,San Francisco,San Francisco,Not specified,No
"Strategic Account Executive, Healthcare",Sales,1,Remote,Remote,Not specified,Yes
