date,total_jobs,top_departments
2026-01-27,62,Engineering: 19; Sales: 15; APM & Post Sales Operations: 14; General & Administrative: 9; Product & Design: 2
2026-01-28,62,Engineering: 19; Sales: 14; APM & Post Sales Operations: 12; General & Administrative: 9; Product & Design: 3
2026-01-29,61,Engineering: 19; Sales: 14; APM & Post Sales Operations: 11; General & Administrative: 9; Product & Design: 3
2026-01-30,61,Engineering: 19; Sales: 14; APM & Post Sales Operations: 11; General & Administrative: 9; Product & Design: 3
2026-01-31,61,Engineering: 19; Sales: 14; APM & Post Sales Operations: 11; General & Administrative: 9; Product & Design: 3
2026-02-01,61,Engineering: 19; Sales: 14; APM & Post Sales Operations: 11; General & Administrative: 9; Product & Design: 3
2026-02-02,61,Engineering: 19; Sales: 14; APM & Post Sales Operations: 11; General & Administrative: 9; Product & Design: 3
2026-02-03,64,Engineering: 21; Sales: 14; APM & Post Sales Operations: 12; General & Administrative: 9; Product & Design: 3
2026-02-04,65,Engineering: 21; Sales: 14; APM & Post Sales Operations: 12; General & Administrative: 10; Product & Design: 3
2026-02-05,66,Engineering: 21; Sales: 15; APM & Post Sales Operations: 12; General & Administrative: 10; Product & Design: 3
2026-02-06,74,Sales: 22; Engineering: 21; APM & Post Sales Operations: 13; General & Administrative: 10; Product & Design: 3
2026-02-07,76,Sales: 23; Engineering: 21; APM & Post Sales Operations: 14; General & Administrative: 10; Product & Design: 3
2026-02-08,76,Sales: 23; Engineering: 21; APM & Post Sales Operations: 14; General & Administrative: 10; Product & Design: 3
2026-02-09,76,Sales: 23; Engineering: 21; APM & Post Sales Operations: 14; General & Administrative: 10; Product & Design: 3
2026-02-10,75,Sales: 24; Engineering: 21; APM & Post Sales Operations: 12; General & Administrative: 10; Product & Design: 3
2026-02-11,76,Sales: 24; Engineering: 23; APM & Post Sales Operations: 11; General & Administrative: 10; Product & Design: 3
2026-02-12,77,Sales: 26; Engineering: 23; APM & Post Sales Operations: 10; General & Administrative: 10; Product & Design: 3
2026-02-13,75,Sales: 26; Engineering: 23; APM & Post Sales Operations: 10; General & Administrative: 8; Product & Design: 3
2026-02-14,76,Sales: 26; Engineering: 23; APM & Post Sales Operations: 10; General & Administrative: 9; Product & Design: 3
2026-02-15,76,Sales: 26; Engineering: 23; APM & Post Sales Operations: 10; General & Administrative: 9; Product & Design: 3
2026-02-16,76,Sales: 26; Engineering: 23; APM & Post Sales Operations: 10; General & Administrative: 9; Product & Design: 3
2026-02-20,79,Sales: 27; Engineering: 22; APM & Post Sales Operations: 12; General & Administrative: 9; Founder's Office: 4
2026-02-21,80,Sales: 27; Engineering: 22; APM & Post Sales Operations: 12; General & Administrative: 9; Founder's Office: 5
2026-02-22,79,Sales: 27; Engineering: 21; APM & Post Sales Operations: 12; General & Administrative: 9; Founder's Office: 5
2026-02-23,79,Sales: 27; Engineering: 21; APM & Post Sales Operations: 12; General & Administrative: 9; Founder's Office: 5
2026-02-24,81,Sales: 27; Engineering: 23; APM & Post Sales Operations: 12; General & Administrative: 9; Founder's Office: 5
2026-02-25,83,Sales: 27; Engineering: 24; APM & Post Sales Operations: 12; General & Administrative: 10; Founder's Office: 5
2026-02-26,86,Sales: 27; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 12; Founder's Office: 5
2026-02-27,86,Sales: 27; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 12; Founder's Office: 5
2026-02-28,86,Sales: 27; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 12; Founder's Office: 5
2026-03-01,86,Sales: 27; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 12; Founder's Office: 5
2026-03-02,86,Sales: 27; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 12; Founder's Office: 5
2026-03-03,87,Sales: 27; Engineering: 23; General & Administrative: 14; APM & Post Sales Operations: 12; Founder's Office: 5
2026-03-04,88,Sales: 28; Engineering: 23; General & Administrative: 14; APM & Post Sales Operations: 12; Founder's Office: 5
2026-03-05,88,Sales: 28; Engineering: 23; General & Administrative: 14; APM & Post Sales Operations: 12; Founder's Office: 5
2026-03-06,87,Sales: 28; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 12; Founder's Office: 5
2026-03-07,85,Sales: 28; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 10; Founder's Office: 5
2026-03-08,85,Sales: 28; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 10; Founder's Office: 5
2026-03-09,85,Sales: 28; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 10; Founder's Office: 5
2026-03-10,84,Sales: 28; Engineering: 23; General & Administrative: 13; APM & Post Sales Operations: 10; Founder's Office: 5
2026-03-11,83,Sales: 28; Engineering: 23; General & Administrative: 12; APM & Post Sales Operations: 10; Founder's Office: 5
2026-03-12,83,Sales: 28; Engineering: 23; General & Administrative: 12; APM & Post Sales Operations: 10; Founder's Office: 5
