title,department,location,posting_date,remote,region,url
Client Onboarding Specialist,Not specified,BG,Not specified,No,EMEA,https://jobs.descartes.com/job/Client-Onboarding-Specialist/597064617/
Site Reliability Engineer,Not specified,"Makati City, PH",Not specified,No,EMEA,https://jobs.descartes.com/job/Makati-City-Site-Reliability-Engineer/596523317/
Customer Success Manager,Not specified,"Amersfoort, NL, 10 3812 RK",Not specified,No,EMEA,https://jobs.descartes.com/job/Amersfoort-Customer-Success-Manager-10-3812-RK/598620017/
Field Marketing Manager( Global Events Management),Not specified,US,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Field-Marketing-Manager%28-Global-Events-Management%29/599575617/
Implementation Consultant,Not specified,UY,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Implementation-Consultant/600376717/
Customer Success Manager,Not specified,US,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Customer-Success-Manager/600337517/
Hyper-V and Storage Administrator,Not specified,"Waterloo, ON, N2V 1C6",Not specified,No,Not specified,https://jobs.descartes.com/job/Waterloo-Hyper-V-and-Storage-Administrator-ON-N2V-1C6/598023217/
Expertise Centre Manager,Not specified,DE,Not specified,No,EMEA,https://jobs.descartes.com/job/Expertise-Centre-Manager/599460817/
Account Executive ( German Speaking),Not specified,DE,Not specified,No,EMEA,https://jobs.descartes.com/job/Account-Executive-%28-German-Speaking%29/596414417/
"Manager, Billing",Not specified,"Waterloo, ON, N2V 1C6",Not specified,No,Not specified,https://jobs.descartes.com/job/Waterloo-Manager%2C-Billing-ON-N2V-1C6/599435317/
TMS Support Specialist (Freight brokerage support),Not specified,US,Not specified,No,AMERICAS,https://jobs.descartes.com/job/TMS-Support-Specialist-%28Freight-brokerage-support%29/598190917/
Technical Account Manager,Not specified,US,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Technical-Account-Manager/598491117/
Senior Account Manager,Not specified,"Rheinfelden, CH, 4310",Not specified,No,EMEA,https://jobs.descartes.com/job/Rheinfelden-Senior-Account-Manager-4310/599325617/
Software Test Engineer,Not specified,"Zilina, SK, 010 01",Not specified,No,EMEA,https://jobs.descartes.com/job/Zilina-Software-Test-Engineer-010-01/598443517/
Customer Success Manager,Not specified,"Waterloo, ON, N2V 1C6",Not specified,No,Not specified,https://jobs.descartes.com/job/Waterloo-Customer-Success-Manager-ON-N2V-1C6/600177817/
"Director, Corporate Development",Not specified,"Waterloo, ON, N2V 1C6",Not specified,No,Not specified,https://jobs.descartes.com/job/Waterloo-Director%2C-Corporate-Development-ON-N2V-1C6/599227717/
Junior Product Owner,Not specified,UY,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Junior-Product-Owner/598325417/
"Technical Team Lead, JavaScript (Node.js, React)",Not specified,"Sencur, SI, SI-4208",Not specified,No,EMEA,https://jobs.descartes.com/job/Sencur-Technical-Team-Lead%2C-JavaScript-%28Node_js%2C-React%29-SI-4208/597736317/
Account Executive,Not specified,US,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Account-Executive/600050017/
Product Designer,Not specified,"Waterloo, ON, N2V 1C6",Not specified,No,Not specified,https://jobs.descartes.com/job/Waterloo-Product-Designer-ON-N2V-1C6/600047717/
Software Developer,Not specified,"Sencur, SI, SI-4208",Not specified,No,EMEA,https://jobs.descartes.com/job/Sencur-Software-Developer-SI-4208/600045717/
Technical Account Manager,Not specified,US,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Technical-Account-Manager/599210817/
Business Development Representative,Not specified,US,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Business-Development-Representative/599122117/
Customs Support specialist,Not specified,US,Not specified,No,AMERICAS,https://jobs.descartes.com/job/Customs-Support-specialist/600004717/
Implementation Consultant (m/f/d) - SaaS / WMS,Not specified,"Leipzig, DE, 4109",Not specified,No,EMEA,https://jobs.descartes.com/job/Leipzig-Implementation-Consultant-%28mfd%29-SaaS-WMS-4109/599986117/
