title,department,openings,locations,all_locations,regions,remote_available
Customer Success Manager,Not specified,3,"Amersfoort, NL, 10 3812 RK; US; Waterloo, ON, N2V 1C6","Amersfoort, NL, 10 3812 RK | US | Waterloo, ON, N2V 1C6","AMERICAS, EMEA, Not specified",No
AI Solutions Architect,Not specified,1,US,US,AMERICAS,No
Account Executive,Not specified,1,US,US,AMERICAS,No
Account Executive ( German Speaking),Not specified,1,DE,DE,EMEA,No
Account Executive E-Commerce,Not specified,1,"Waterloo, ON, N2V 1C6","Waterloo, ON, N2V 1C6",Not specified,No
Client Onboarding Specialist,Not specified,1,BG,BG,EMEA,No
"Director, Corporate Development",Not specified,1,"Waterloo, ON, N2V 1C6","Waterloo, ON, N2V 1C6",Not specified,No
"Director, Software Development",Not specified,1,"Waterloo, ON, N2V 1C6","Waterloo, ON, N2V 1C6",Not specified,No
Hyper-V and Storage Administrator,Not specified,1,"Waterloo, ON, N2V 1C6","Waterloo, ON, N2V 1C6",Not specified,No
Implementation Consultant,Not specified,1,UY,UY,AMERICAS,No
Junior Product Owner,Not specified,1,UY,UY,AMERICAS,No
"Manager, Billing",Not specified,1,"Waterloo, ON, N2V 1C6","Waterloo, ON, N2V 1C6",Not specified,No
Manual QA Tester,Not specified,1,"Zilina, SK, 010 01","Zilina, SK, 010 01",EMEA,No
Order Entry Clerk,Not specified,1,"Philippines, PH","Philippines, PH",EMEA,No
Product Designer,Not specified,1,"Waterloo, ON, N2V 1C6","Waterloo, ON, N2V 1C6",Not specified,No
Senior Account Manager,Not specified,1,"Rheinfelden, CH, 4310","Rheinfelden, CH, 4310",EMEA,No
Site Reliability Engineer,Not specified,1,"Makati City, PH","Makati City, PH",EMEA,No
Software Test Engineer,Not specified,1,"Zilina, SK, 010 01","Zilina, SK, 010 01",EMEA,No
Support Agent Trainee,Not specified,1,"Leipzig, DE, 4109","Leipzig, DE, 4109",EMEA,No
TMS Support Specialist (Freight brokerage support),Not specified,1,US,US,AMERICAS,No
Technical Account Manager,Not specified,1,US,US,AMERICAS,No
Technical Support Representative,Not specified,1,UY,UY,AMERICAS,No
"Technical Team Lead, JavaScript (Node.js, React)",Not specified,1,"Sencur, SI, SI-4208","Sencur, SI, SI-4208",EMEA,No
