date,total_jobs,top_departments
2026-01-27,25,Not specified: 25
2026-01-28,25,Not specified: 25
2026-01-29,25,Not specified: 25
2026-01-30,25,Not specified: 25
2026-01-31,25,Not specified: 25
2026-02-01,25,Not specified: 25
2026-02-02,25,Not specified: 25
2026-02-03,25,Not specified: 25
2026-02-04,25,Not specified: 25
2026-02-05,25,Not specified: 25
2026-02-06,25,Not specified: 25
2026-02-07,25,Not specified: 25
2026-02-08,25,Not specified: 25
2026-02-09,25,Not specified: 25
2026-02-10,25,Not specified: 25
2026-02-11,25,Not specified: 25
2026-02-12,24,Not specified: 24
2026-02-13,25,Not specified: 25
2026-02-14,25,Not specified: 25
2026-02-15,25,Not specified: 25
2026-02-16,25,Not specified: 25
2026-02-20,25,Not specified: 25
