title,department,openings,locations,all_locations,regions,remote_available
"Business Development Representative, French Speaking",Revenue,1,"London, UK","London, UK",Not specified,Yes
"Business Development Representative, German or Dutch Speaking",Revenue,1,"London, UK","London, UK",Not specified,Yes
Cloud Systems Engineer,Product Engineering,1,"Biassono, Italy","Biassono, Italy",Not specified,Yes
Competitive Intelligence Manager,Marketing,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
Customer Success Manager,Revenue,1,"London, UK","London, UK",Not specified,Yes
Customer Success Manager - Enterprise,Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
Customer Success Manager - Mid-Market,Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Director, Revenue Architecture and Operations",Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Director, Solutions Architecture",Product Management,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Global VP, Professional Services",Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Manager, Solutions Consulting – Enterprise & US Public Sector",Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Marketing Manager, Germany",Marketing,1,"Munich, Germany","Munich, Germany",Not specified,Yes
Marketing Project Manager,Marketing,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Revenue Operations Specialist, Pre Sales ",Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
Senior Customer Success Manager,Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Senior Manager, Revenue Strategy and Planning",Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Senior Manager, Services Sales",Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
"Senior Manager, Workplace Experience",People,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
Solution Architect EMEA,Product Management,1,"London, UK","London, UK",Not specified,Yes
"Solutions Consultant, Mid-Market",Revenue,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
Support Operations Specialist ,Product Engineering,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
Technical Account Manager,Product Management,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
Technical Account Manager (French Speaking),Product Management,1,"London, UK","London, UK",Not specified,Yes
Visual Brand Designer,Marketing,1,"Toronto, Ontario","Toronto, Ontario",Not specified,Yes
