title,department,location,posting_date,remote,region,url
GTM Enablement Manager | Housing,Sales,New York City,2025-12-07T12:57:45.900+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/8b33cb13-0441-4d6e-887c-e8ce18ba98aa
Sales Development Representative | Housing (NYC),Sales,New York City,2019-11-14T21:13:49.602+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/030ce0cc-8242-49da-8a19-fd2f8ded3437
Senior Research Scientist,Research,New York City,2024-07-24T15:41:50.597+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/34c3d9bf-0529-40f0-aee3-8947e1330868
Senior GTM Enablement Manager | Housing,Sales,New York City,2024-04-14T21:50:43.858+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/83144cda-a071-4f66-86ad-02102b23991f
"Product Operations Manager, Implementation | Housing",Product,New York City,2026-01-26T16:21:13.753+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/6e5b2974-1efa-4907-b4bb-32e655c9d466
Mid-Market Account Executive | Housing,Sales,New York City,2025-06-20T22:32:44.989+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/85c00ebc-7d74-4f63-bebd-ed1dfdf0b442
AI Operations Specialist | Housing (New Grads 2025-2026),Strategy and Operations,New York City,2025-06-20T22:34:33.001+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/f8744c2a-ba16-47b8-894e-28406000681a
Enterprise Account Executive | Housing,Sales,New York City,2025-06-20T22:35:37.203+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/d64ad5f1-7266-4b94-bf99-fd4ab5f18693
Chief of Staff to the CEO,Strategy and Operations,New York City,2025-06-20T22:37:27.129+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/6666b438-b752-4b08-a102-5989c551380a
Senior DevOps Engineer,Engineering,New York City,2026-01-13T22:45:55.201+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/fe19cade-c6ec-4552-8b49-3f45107f2466
Director of Scaled Customer Success | Housing ,Customer Success,New York City,2025-06-20T22:39:20.645+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/d4e0133d-f9e8-4ffd-9860-5905d3edf77e
GTM Engineer,Sales,New York City,2025-06-20T22:40:32.351+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/7a74322c-415a-41cb-8956-ee170d3bb267
Founding Software Engineer | Healthcare,Engineering,New York City,2025-06-20T22:40:57.420+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/6b756f91-4355-49af-901b-77d3b62d656a
Junior Research Scientist,Research,New York City,2025-06-20T22:41:38.767+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/54f71abf-9184-4b4a-8d41-43ebf1600eba
Legal Counsel,Legal,New York City,2026-01-20T18:23:02.760+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/1f6c095e-39fc-4e6b-9ea0-887caad4d044
Strategy and Operations Manager | Healthcare,Strategy and Operations,New York City,2025-11-23T21:54:22.762+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/39653b5a-226b-4cb3-93db-7791d965ecee
Strategic Account Executive | Housing,Sales,New York City,2025-06-20T22:50:10.305+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/4ec9e29c-1281-44d4-8b4c-2ad1c52e7b33
"Product Strategy and Operations, Manager - New Verticals | Housing",Strategy and Operations,New York City,2025-10-16T19:55:01.504+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/42e18fe8-8347-46c4-a18d-590f4e6d1977
AI Engagement Manager | Housing,Customer Success,New York City,2025-08-18T21:12:41.942+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/abb1b455-6a5b-4dc5-b608-23e0c8decab5
