date,total_jobs,top_departments
2026-01-27,111,Sales: 20; Strategy and Operations: 20; Product Solutions: 14; Marketing: 13; Engineering: 11
2026-01-28,111,Sales: 21; Strategy and Operations: 20; Product Solutions: 14; Marketing: 12; Engineering: 11
2026-01-29,109,Sales: 21; Strategy and Operations: 20; Product Solutions: 13; Marketing: 12; Engineering: 11
2026-01-30,105,Sales: 20; Strategy and Operations: 19; Product Solutions: 12; Marketing: 11; Engineering: 10
2026-01-31,104,Sales: 20; Strategy and Operations: 19; Product Solutions: 12; Engineering: 11; Marketing: 9
2026-02-01,104,Sales: 20; Strategy and Operations: 19; Product Solutions: 12; Engineering: 11; Marketing: 9
2026-02-02,104,Sales: 20; Strategy and Operations: 19; Product Solutions: 12; Engineering: 11; Marketing: 9
2026-02-03,107,Sales: 22; Strategy and Operations: 20; Product Solutions: 13; Engineering: 11; Customer Success: 8
2026-02-04,106,Sales: 22; Strategy and Operations: 20; Product Solutions: 13; Engineering: 11; Customer Success: 8
2026-02-05,108,Sales: 22; Strategy and Operations: 21; Product Solutions: 12; Engineering: 11; Marketing: 9
2026-02-06,106,Sales: 22; Strategy and Operations: 21; Engineering: 11; Product Solutions: 10; Marketing: 9
2026-02-07,108,Sales: 23; Strategy and Operations: 21; Engineering: 11; Product Solutions: 10; Marketing: 10
2026-02-08,108,Sales: 23; Strategy and Operations: 21; Engineering: 11; Product Solutions: 10; Marketing: 10
2026-02-09,109,Sales: 24; Strategy and Operations: 21; Engineering: 11; Product Solutions: 10; Marketing: 10
2026-02-10,110,Sales: 24; Strategy and Operations: 21; Engineering: 11; Product Solutions: 10; Marketing: 10
2026-02-11,112,Sales: 24; Strategy and Operations: 22; Engineering: 11; Customer Success: 10; Product Solutions: 10
2026-02-12,115,Sales: 25; Strategy and Operations: 22; Engineering: 11; Marketing: 11; Customer Success: 10
2026-02-13,115,Sales: 25; Strategy and Operations: 22; Engineering: 11; Product Solutions: 11; Marketing: 11
2026-02-14,114,Sales: 25; Strategy and Operations: 22; Engineering: 11; Product Solutions: 11; Marketing: 10
2026-02-15,114,Sales: 25; Strategy and Operations: 22; Engineering: 11; Product Solutions: 11; Marketing: 10
2026-02-16,114,Sales: 25; Strategy and Operations: 22; Engineering: 11; Product Solutions: 11; Marketing: 10
2026-02-20,117,Sales: 26; Strategy and Operations: 23; Engineering: 11; Product Solutions: 11; Marketing: 10
2026-02-21,117,Sales: 26; Strategy and Operations: 23; Engineering: 11; Product Solutions: 11; Marketing: 10
2026-02-22,117,Sales: 26; Strategy and Operations: 23; Engineering: 11; Product Solutions: 11; Marketing: 10
