date,total_jobs,top_departments
2026-01-27,31,Product Management: 5; Software Development: 5; Sales: 4; People: 4; Accounting: 2
2026-01-28,31,Product Management: 5; Software Development: 5; People: 4; Sales: 4; Accounting: 2
2026-01-29,30,Product Management: 5; Software Development: 5; Sales: 4; People: 3; Accounting: 2
2026-01-30,31,Software Development: 5; Product Management: 4; Sales: 4; People: 3; Technical Support: 2
2026-01-31,32,Software Development: 5; Product Management: 4; Sales: 4; People: 3; Technical Support: 3
2026-02-01,32,Software Development: 5; Product Management: 4; Sales: 4; People: 3; Technical Support: 3
2026-02-02,32,Software Development: 5; Product Management: 4; Sales: 4; People: 3; Technical Support: 3
2026-02-03,31,Software Development: 5; Product Management: 4; Sales: 4; People: 3; Leasing Center: 2
2026-02-04,32,Software Development: 5; Product Management: 4; Sales: 4; People: 3; Utilities: 3
2026-02-05,34,Software Development: 5; Product Management: 4; Sales: 4; Technical Support: 3; People: 3
2026-02-06,35,Software Development: 5; Product Management: 4; Sales: 4; Technical Support: 3; People: 3
2026-02-07,34,Software Development: 5; Product Management: 4; Sales: 4; Technical Support: 3; People: 3
2026-02-08,34,Software Development: 5; Product Management: 4; Sales: 4; Technical Support: 3; People: 3
2026-02-09,34,Software Development: 5; Product Management: 4; Sales: 4; Technical Support: 3; People: 3
2026-02-10,35,Software Development: 5; Product Management: 4; Sales: 4; Technical Support: 3; People: 3
2026-02-11,36,Software Development: 5; Technical Support: 4; Product Management: 4; Sales: 4; People: 3
2026-02-12,35,Software Development: 5; Sales: 5; Technical Support: 4; People: 3; Product Management: 3
2026-02-13,33,Software Development: 5; Sales: 5; Technical Support: 4; Product Management: 3; Leasing Center: 2
2026-02-14,33,Software Development: 5; Sales: 5; Technical Support: 4; Product Management: 3; Leasing Center: 2
2026-02-15,33,Software Development: 5; Sales: 5; Technical Support: 4; Product Management: 3; Leasing Center: 2
2026-02-16,32,Sales: 5; Technical Support: 4; Software Development: 4; Product Management: 3; Leasing Center: 2
2026-02-20,30,Sales: 5; Technical Support: 4; Software Development: 3; Leasing Center: 2; Resident Insure: 2
2026-02-21,29,Sales: 5; Technical Support: 4; Software Development: 3; Leasing Center: 2; Resident Insure: 2
2026-02-22,29,Sales: 5; Technical Support: 4; Software Development: 3; Leasing Center: 2; Resident Insure: 2
2026-02-23,29,Sales: 5; Technical Support: 4; Software Development: 3; Leasing Center: 2; Resident Insure: 2
2026-02-24,30,Sales: 5; Technical Support: 4; Resident Insure: 3; Software Development: 3; Leasing Center: 2
2026-02-25,30,Sales: 5; Technical Support: 4; Resident Insure: 3; Software Development: 3; Leasing Center: 2
2026-02-26,30,Technical Support: 5; Sales: 5; Resident Insure: 3; Software Development: 3; Leasing Center: 2
2026-02-27,29,Technical Support: 5; Sales: 5; Resident Insure: 3; Software Development: 3; Customer Success: 2
2026-02-28,30,Sales: 6; Technical Support: 5; Resident Insure: 3; Software Development: 3; Customer Success: 2
2026-03-01,30,Sales: 6; Technical Support: 5; Resident Insure: 3; Software Development: 3; Customer Success: 2
2026-03-02,30,Sales: 6; Technical Support: 5; Resident Insure: 3; Software Development: 3; Customer Success: 2
