date,total_jobs,top_departments
2026-01-14,40,Not specified: 40
2026-01-21,40,Not specified: 40
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,215,Not specified: 215
2026-02-08,215,Not specified: 215
2026-02-09,212,Not specified: 212
2026-02-10,209,Not specified: 209
2026-02-11,202,Not specified: 202
2026-02-12,201,Not specified: 201
2026-02-13,201,Not specified: 201
