title,department,location,posting_date,remote,region,url
Key Account Manager,Not specified,"Espoo, Finland",2026-03-06,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5233
CRM Support Analyst,Not specified,"Pune, Maharashtra, India",2026-03-06,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5250
Key Account Manager - Norway,Not specified,"Oslo, Norway",2026-03-06,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5262
EVP Sales & Marketing,Not specified,"Hammersmith (London), UK, England, United Kingdom",2026-03-05,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5252
Head of Energy & Utilities Strategy,Not specified,"Stockholm, Sweden",2026-03-02,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5261
Director of Product Management,Not specified,"Oslo, Norway",2026-03-02,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5269
Director of Support & Operations,Not specified,"Espoo, Finland",2026-03-04,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5270
Office Coordinator,Not specified,"Buenos Aires, Argentina",2026-03-02,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5273
Senior Software Developer,Not specified,"Espoo, Finland",2026-02-25,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5121
"Vice President, Software Delivery",Not specified,"Oslo, Norway",2026-02-25,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5260
DevOps Engineer,Not specified,"Sønderborg, Denmark",2025-11-13,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5108
Product Owner - Finance (gn),Not specified,Germany,2025-09-11,No,Not specified,https://eoja.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5111
