date,total_jobs,top_departments
2026-02-20,30,Not specified: 30
2026-02-21,33,Not specified: 33
2026-02-22,33,Not specified: 33
2026-02-23,33,Not specified: 33
2026-02-24,32,Not specified: 32
2026-02-25,32,Not specified: 32
2026-02-26,34,Not specified: 34
2026-02-27,34,Not specified: 34
2026-02-28,34,Not specified: 34
2026-03-01,33,Not specified: 33
2026-03-02,33,Not specified: 33
2026-03-03,36,Not specified: 36
2026-03-04,34,Not specified: 34
2026-03-05,35,Not specified: 35
2026-03-06,36,Not specified: 36
2026-03-07,39,Not specified: 39
2026-03-08,39,Not specified: 39
2026-03-09,39,Not specified: 39
2026-03-10,40,Not specified: 40
2026-03-11,40,Not specified: 40
2026-03-12,40,Not specified: 40
2026-03-13,39,Not specified: 39
2026-03-14,39,Not specified: 39
2026-03-15,39,Not specified: 39
