date,total_jobs,top_departments
2026-02-20,21,Not specified: 21
2026-02-21,20,Not specified: 20
2026-02-22,20,Not specified: 20
2026-02-23,20,Not specified: 20
2026-02-24,21,Not specified: 21
2026-02-25,21,Not specified: 21
2026-02-26,23,Not specified: 23
2026-02-27,22,Not specified: 22
2026-02-28,22,Not specified: 22
2026-03-01,22,Not specified: 22
2026-03-02,22,Not specified: 22
2026-03-03,24,Not specified: 24
2026-03-04,25,Not specified: 25
2026-03-05,26,Not specified: 26
2026-03-06,26,Not specified: 26
2026-03-07,26,Not specified: 26
2026-03-08,26,Not specified: 26
2026-03-09,26,Not specified: 26
2026-03-10,26,Not specified: 26
2026-03-11,25,Not specified: 25
2026-03-12,24,Not specified: 24
2026-03-13,23,Not specified: 23
