title,department,openings,locations,all_locations,regions,remote_available
Account Executive -South East Region,Not specified,1,US-Remote,US-Remote,Not specified,Yes
"Architect, Data Fabric, Developer Framework",Not specified,1,CA-Remote,CA-Remote,Not specified,Yes
Associate Solution Consultant - IND,Not specified,1,"IN-TN-Perungudi, Chennai","IN-TN-Perungudi, Chennai",Not specified,No
Business Consultant,Not specified,1,IN-Remote,IN-Remote,Not specified,Yes
Business Consultant - USA,Not specified,1,US-Remote,US-Remote,Not specified,Yes
Business Consulting Manager,Not specified,1,US-Remote,US-Remote,Not specified,Yes
Business Development Representative,Not specified,1,UK-Remote,UK-Remote,Not specified,Yes
Client Partner,Not specified,1,US-Remote,US-Remote,Not specified,Yes
"Co-Op/Intern Software Engineer, AI",Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
"Co-op/Intern Cloud Developer, Platform Engineering",Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
"Co-op/Intern Developer, Clients, Front End Technologies",Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
Co-op/Intern Site Reliability Engineer,Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
Commercial Contracts Manager,Not specified,1,CA-Remote,CA-Remote,Not specified,Yes
Database Specialist,Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
Director of Procurement,Not specified,1,CA-Remote,CA-Remote,Not specified,Yes
"Director, Product Management, Platform",Not specified,1,CA-Remote,CA-Remote,Not specified,Yes
Enterprise Sales Director,Not specified,1,TW-Remote,TW-Remote,Not specified,Yes
Executive Assistant,Not specified,1,FR-Remote,FR-Remote,Not specified,Yes
Facilities Coordinator,Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
Head of Renewals,Not specified,1,US-Remote,US-Remote,Not specified,Yes
IT Support Technician (12 Month Fixed Term),Not specified,1,NL-Remote,NL-Remote,Not specified,Yes
Instructor,Not specified,1,IE-Remote,IE-Remote,Not specified,Yes
Premier Support Manager,Not specified,1,IE-Remote,IE-Remote,Not specified,Yes
"Product Manager, Platform",Not specified,1,CA-Remote,CA-Remote,Not specified,Yes
"Program Manager, Product Operations",Not specified,1,CA-ON-Toronto,CA-ON-Toronto,Not specified,No
Senior Application Consultant,Not specified,1,RO-Remote,RO-Remote,Not specified,Yes
Senior Delivery Manager,Not specified,1,JP-Tokyo,JP-Tokyo,Not specified,No
Senior Financial Analyst,Not specified,1,CA-Remote,CA-Remote,Not specified,Yes
Senior Information Security Analyst,Not specified,1,JP-Tokyo,JP-Tokyo,Not specified,No
Senior Site Reliability Engineer - Infra,Not specified,1,TW-Remote,TW-Remote,Not specified,Yes
"Senior Software Developer, Front End Technology",Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
"Senior Software Developer, Supply Chain Execution, 12-Month Term",Not specified,1,NL-Rotterdam,NL-Rotterdam,Not specified,No
Senior Solution Consultant - IND,Not specified,1,"IN-TN-Perungudi, Chennai","IN-TN-Perungudi, Chennai",Not specified,No
Senior Technology Consultant - IND,Not specified,1,"IN-TN-Perungudi, Chennai","IN-TN-Perungudi, Chennai",Not specified,No
"Software Developer 2, Python Backend Developer",Not specified,1,IN-KA-Bangalore,IN-KA-Bangalore,Not specified,No
"Software Developer, C++",Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
Software Test Developer 1 - Java Automation,Not specified,1,IN-KA-Bangalore,IN-KA-Bangalore,Not specified,No
Solution Architect - IND,Not specified,1,IN-KA-Bangalore,IN-KA-Bangalore,Not specified,No
"Solution Architect, Life Sciences",Not specified,1,CA-Remote,CA-Remote,Not specified,Yes
Solution Consultant,Not specified,1,IN-KA-Bangalore,IN-KA-Bangalore,Not specified,No
"Solution Consultant, Entry - IND",Not specified,1,"IN-TN-Perungudi, Chennai","IN-TN-Perungudi, Chennai",Not specified,No
"Solution Consultant, Intermediate - IND",Not specified,1,"IN-TN-Perungudi, Chennai","IN-TN-Perungudi, Chennai",Not specified,No
"Staff Algorithms Developer, C++",Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
"Staff Software Developer, Front End Technology",Not specified,1,CA-ON-Ottawa,CA-ON-Ottawa,Not specified,No
"Technical Data Architect, Platform & Data Products",Not specified,1,CA-Remote,CA-Remote,Not specified,Yes
Technology Consultant,Not specified,1,JP-Tokyo,JP-Tokyo,Not specified,No
Technology Consultant - IND,Not specified,1,"IN-TN-Perungudi, Chennai","IN-TN-Perungudi, Chennai",Not specified,No
"VP, Sales",Not specified,1,FR-Remote,FR-Remote,Not specified,Yes
