title,department,location,posting_date,remote,region,url
Associate Solution Consultant,Not specified,US-TX-Irving,(2/19/2026 8:55 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34342/associate-solution-consultant/job?in_iframe=1
Co-Op/ Intern AI/ ML,Not specified,CA-ON-Ottawa,(2/19/2026 1:47 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34339/co-op--intern-ai--ml/job?in_iframe=1
Staff Cloud Platform Engineer,Not specified,CA-ON-Ottawa,Posted Date 2 days ago,No,Not specified,https://careers-kinaxis.icims.com/jobs/34338/staff-cloud-platform-engineer/job?in_iframe=1
"Senior Cloud Engineer, Data & Analytics - IND",Not specified,"IN-TN-Perungudi, Chennai",(2/18/2026 5:24 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34306/senior-cloud-engineer%2c-data-%26-analytics---ind/job?in_iframe=1
Training Coordinator (Term),Not specified,IN-Remote,(2/18/2026 3:03 PM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34290/training-coordinator-%28term%29/job?in_iframe=1
PS Operations Manager - IND,Not specified,"IN-TN-Perungudi, Chennai",Posted Date 2 days ago,No,Not specified,https://careers-kinaxis.icims.com/jobs/34260/ps-operations-manager---ind/job?in_iframe=1
Senior Application Consultant - IND,Not specified,"IN-TN-Perungudi, Chennai",Posted Date 2 days ago,No,Not specified,https://careers-kinaxis.icims.com/jobs/34256/senior-application-consultant---ind/job?in_iframe=1
"Staff Software Developer, C++",Not specified,CA-ON-Ottawa,(1/27/2026 9:01 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34238/staff-software-developer%2c-c%2b%2b/job?in_iframe=1
Business Consultant (Presales),Not specified,IN-Remote,(1/29/2026 7:11 AM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34227/business-consultant-%28presales%29/job?in_iframe=1
Delivery Director,Not specified,US-Remote,Posted Date 4 days ago,Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34191/delivery-director/job?in_iframe=1
