date,total_jobs,top_departments
2026-01-27,7,Security: 2; Development: 2; Marketing: 1; Privacy: 1; Professional Services: 1
2026-01-28,7,Development: 3; Security: 2; Marketing: 1; Privacy: 1
2026-01-29,7,Development: 3; Security: 2; Marketing: 1; Privacy: 1
2026-01-30,8,Development: 3; Security: 2; Marketing: 1; Privacy: 1; Product: 1
2026-01-31,10,Development: 3; Security: 2; Product: 2; Marketing: 1; Privacy: 1
2026-02-01,10,Development: 3; Security: 2; Product: 2; Marketing: 1; Privacy: 1
2026-02-02,10,Development: 3; Security: 2; Product: 2; Marketing: 1; Privacy: 1
2026-02-03,10,Development: 3; Security: 2; Product: 2; Marketing: 1; Privacy: 1
2026-02-04,11,Product: 3; Development: 3; Security: 2; Marketing: 1; Privacy: 1
2026-02-05,11,Product: 3; Development: 3; Security: 2; Marketing: 1; Privacy: 1
2026-02-06,11,Product: 3; Development: 3; Security: 2; Marketing: 1; Privacy: 1
2026-02-07,11,Product: 3; Development: 3; Security: 2; Marketing: 1; Privacy: 1
2026-02-08,11,Product: 3; Development: 3; Security: 2; Marketing: 1; Privacy: 1
2026-02-09,11,Product: 3; Development: 3; Security: 2; Marketing: 1; Privacy: 1
2026-02-10,12,Security: 3; Product: 3; Development: 3; Marketing: 1; Privacy: 1
2026-02-11,12,Security: 3; Product: 3; Development: 3; Marketing: 1; Privacy: 1
2026-02-12,14,Security: 3; Product: 3; Development: 3; Sales: 2; Marketing: 1
2026-02-13,14,Security: 3; Product: 3; Development: 3; Sales: 2; Marketing: 1
2026-02-14,15,Security: 3; Product: 3; Development: 3; Sales: 2; Marketing: 1
