date,total_jobs,top_departments
2026-01-03,30,Not specified: 30
2026-01-05,30,Not specified: 30
2026-01-14,37,Not specified: 37
2026-01-21,40,Not specified: 40
2026-01-27,39,Not specified: 39
2026-01-28,38,Not specified: 38
2026-01-29,38,Not specified: 38
2026-01-30,39,Not specified: 39
2026-01-31,38,Not specified: 38
2026-02-01,39,Not specified: 39
2026-02-02,39,Not specified: 39
2026-02-03,39,Not specified: 39
2026-02-04,39,Not specified: 39
2026-02-05,39,Not specified: 39
2026-02-06,39,Not specified: 39
