title,department,openings,locations,all_locations,regions,remote_available
Engagement Director,Not specified,2,Paris; Sydney,Paris | Sydney,Not specified,No
Principal Support Consultant,Not specified,2,Paris,Paris,Not specified,No
Sales Account Executive,Not specified,2,Paris,Paris,Not specified,No
Support Associate Consultant (Internship),Not specified,2,Paris,Paris,Not specified,No
Analyst Relations Specialist,Not specified,1,Bangalore,Bangalore,Not specified,No
Associate Consultant,Not specified,1,Paris,Paris,Not specified,No
Associate Consultant - Internship,Not specified,1,Barcelona,Barcelona,Not specified,No
Consulting Resource Specialist,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Director of Demand Generation and Growth, Americas",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Director, Support Consulting, CSO, Supply Chain Solutions",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Director, Technology Partnerships",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Engagement Director - Supply Chain Planning,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Enterprise Mobility Account Executive, Supply Chain (remote)",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,Yes
Frontend Developer/Web Developer,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Manager, Change Management",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Principal Consultant - Carrier Management (Remote),Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,Yes
Principal Consultant-Manhattan Active Warehouse Management,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Principal Integrations Engineer, Workday Financials (remote)",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,Yes
Principal Salesforce Engineer/Developer (Atlanta),Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Principal Support Analyst, CSO, WM-i",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Project Manager - Manhattan Active WM,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Sales Executive - New Business,Not specified,1,Tokyo,Tokyo,Not specified,No
"Senior Account Manager, Supply Chain Technology Sales (remote)",Not specified,1,2 Locations,2 Locations,Not specified,Yes
Senior Business Development Representative,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Senior Consultant,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Senior Consultant – Shipping Planning & Optimization,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Senior Engineer - IT Infrastructure & Storage,Not specified,1,Bangalore,Bangalore,Not specified,No
Senior Engineer - MuleSoft Developer,Not specified,1,Bangalore,Bangalore,Not specified,No
"Senior Enterprise Analyst, Workday Financials",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Senior Enterprise Mobility Account Executive, Supply Chain (remote)",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,Yes
"Senior IT Delivery Manager, Financial Systems",Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Senior Principal Consultant - Point of Sale (POS),Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Senior Principal Consultant - Supply Chain Planning,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
Senior Product Marketing Manager (AI/ML),Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Senior Services Project Manager, Supply Chain Technology (Chile)",Not specified,1,Santiago,Santiago,Not specified,No
"Senior Support Consultant, Supply Chain Technology (Chile)",Not specified,1,Santiago,Santiago,Not specified,No
Senior Technology Consultant | Supply Chain Software,Not specified,1,"Atlanta, GA","Atlanta, GA",Not specified,No
"Solutions Consulting Director, Supply Chain Planning Technology Pre-Sales (remote)",Not specified,1,2 Locations,2 Locations,Not specified,Yes
"Technology Consultant, Supply Chain (Chile)",Not specified,1,Santiago,Santiago,Not specified,No
