date,total_jobs,top_departments
2026-01-03,36,Not specified: 36
2026-01-05,36,Not specified: 36
2026-01-14,40,Not specified: 40
2026-01-21,40,Not specified: 40
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,50,Not specified: 50
2026-02-08,50,Not specified: 50
2026-02-09,50,Not specified: 50
2026-02-10,50,Not specified: 50
