date,total_jobs,top_departments
2026-01-27,40,Not specified: 40
2026-01-28,43,Not specified: 43
2026-01-29,47,Not specified: 47
2026-01-30,46,Not specified: 46
2026-01-31,47,Not specified: 47
2026-02-01,47,Not specified: 47
2026-02-02,48,Not specified: 48
2026-02-03,48,Not specified: 48
2026-02-04,47,Not specified: 47
2026-02-05,48,Not specified: 48
2026-02-06,49,Not specified: 49
2026-02-07,51,Not specified: 51
2026-02-08,51,Not specified: 51
2026-02-09,51,Not specified: 51
2026-02-10,51,Not specified: 51
2026-02-11,50,Not specified: 50
