title,department,location,posting_date,remote,region,url
Business Development Executive - DACH (f/m/d)*,Not specified,Berlin Office,2026-01-12T05:27:16-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751258101
Business Development Executive - Southern Europe (f/m/d)*,Not specified,London,2026-01-14T04:05:28-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4752680101
Business Development Executive - Southern Europe (f/m/d)*,Not specified,Remotely in Europe ,2026-01-14T04:05:15-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4752757101
Commercial Counsel – Deal Desk Focus (New York office),Not specified,New York Office,2025-12-11T11:38:09-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4729618101
Documentation Specialist (f/m/d)*,Not specified,Berlin Office,2026-01-27T06:52:28-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4767450101
Engineering Manager - Product Engineering (f/m/d)*,Not specified,Berlin Office; Remotely in Germany,2025-11-04T12:54:24-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4688953101
Engineering Manager - Site Reliability Engineering/DevEx (f/m/d)*,Not specified,Berlin Office,2025-12-19T04:15:36-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4741064101
Enterprise Account Executive - Switzerland (f/m/d)*,Not specified,Remotely in Europe ,2026-01-28T07:53:05-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4768706101
Enterprise Engagement Manager (f/m/d)*,Not specified,Berlin Office; Munich Office,2026-01-22T10:50:15-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4716099101
"Forward Deployed Engineer, DevOps",Not specified,New York Office,2026-01-08T15:08:06-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4694390101
Front Desk Manager (f/m/d)*,Not specified,Berlin Office,2025-12-19T14:03:57-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4741622101
Global Partnerships Manager - BPO,Not specified,New York Office,2025-11-26T10:03:10-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4719511101
GSI Partnerships Manager -  (Conversational AI & Agentic AI),Not specified,New York Office,2025-11-04T12:54:24-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4685011101
Lead Agent Architect (f/m/d)*,Not specified,Berlin Office; Munich Office; Remotely in Germany,2026-01-26T11:29:52-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4649063101
Lead AI Agent Architect (f/m/d)*,Not specified,New York Office,2026-01-23T12:59:15-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4566280101
Lead/Senior Solution Engineer (PreSales) Germany (f/m/d)*,Not specified,Berlin Office; Munich Office; Remotely in Germany,2026-01-20T13:25:13-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751662101
Lead/Senior Solution Engineer (PreSales) Switzerland (f/m/d)*,Not specified,Remotely in Europe ,2026-01-20T13:17:51-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4762639101
Lead Solutions Engineer - West / Central U.S,Not specified,Remotely in the USA,2026-01-20T04:56:36-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751818101
Principal Software Engineer (f/m/d)*,Not specified,Berlin Office; Remotely in Europe ; Remotely in Germany,2026-01-12T05:59:20-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751058101
Program Manager - Engineering Delivery Excellence (f/m/d)*,Not specified,Berlin Office,2025-11-04T12:54:24-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4673300101
Sales Director - Enterprise DACH (f/m/d)*,Not specified,Berlin Office,2026-01-12T03:23:23-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751071101
SAP Solution Architect – Finance & Subscription Systems (f/m/d)*,Not specified,Berlin Office,2026-01-28T11:18:14-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4768602101
Senior Agent Architect (f/m/d)*,Not specified,Berlin Office; Munich Office; Remotely in Germany,2026-01-26T11:29:53-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4766701101
Senior Enterprise Engagement Manager (f/m/d)*,Not specified,Berlin Office; Munich Office; Remotely in Germany,2026-01-22T10:50:16-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4753586101
Senior Field Marketing Manager ,Not specified,New York Office,2026-01-29T17:53:35-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4729591101
Senior Field Marketing Manager (f/m/d)*,Not specified,London,2026-01-28T09:17:11-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4740459101
Senior Forward Deployed Engineer - EMEA (f/m/d),Not specified,Remotely in Europe ,2026-01-14T05:07:42-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751504101
Senior Forward Deployed Engineer (f/m/d),Not specified,London,2026-01-14T05:08:35-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4747267101
Senior Forward Deployed Engineer (f/m/d),Not specified,Remotely in Germany,2026-01-12T08:55:36-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4751509101
Senior Forward Deployed Engineer - US,Not specified,New York Office; Remotely in the USA,2026-01-21T15:14:29-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4604587101
Senior Instructional Designer (f/m/d)*,Not specified,Berlin Office; Munich Office; Remotely in Germany,2026-01-27T10:12:57-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4753934101
