title,department,openings,locations,all_locations,regions,remote_available
RVP Sales - Eastern Europe & Alps,Not specified,2,Berlin Office; Munich Office; Remotely in Germany; London,Berlin Office; Munich Office; Remotely in Germany | London,Not specified,Yes
Senior AI Agent Architect (f/m/d)*,Not specified,2,Berlin Office; Munich Office; Remotely in Germany; Dublin; London; Remotely in the UK,Berlin Office; Munich Office; Remotely in Germany | Dublin; London; Remotely in the UK,Not specified,Yes
Senior Forward Deployed Engineer (f/m/d)*,Not specified,2,Berlin Office; Munich Office; Remotely in Germany; London,Berlin Office; Munich Office; Remotely in Germany | London,Not specified,Yes
Technical Project Manager – Agentic AI Deployments,Not specified,2,Berlin Office; Remotely in Germany; New York Office,Berlin Office; Remotely in Germany | New York Office,Not specified,Yes
 Technical Support Engineer,Not specified,1,Remotely in the USA,Remotely in the USA,Not specified,Yes
(Senior) Partner Solution Engineer - DACH (f/m/d)*,Not specified,1,Berlin Office; Munich Office; Remotely in Germany,Berlin Office; Munich Office; Remotely in Germany,Not specified,Yes
Business Development Executive - DACH (f/m/d)*,Not specified,1,Berlin Office,Berlin Office,Not specified,No
Business Development Executive - Southern Europe (f/m/d)*,Not specified,1,London,London,Not specified,No
Business Development Representative,Not specified,1,New York Office,New York Office,Not specified,No
Deployment Strategist (f/m/d)*,Not specified,1,Berlin Office; Munich Office,Berlin Office; Munich Office,Not specified,No
Documentation Specialist (f/m/d)*,Not specified,1,Berlin Office,Berlin Office,Not specified,No
EMEA Field Marketing Manager (f/m/d)*,Not specified,1,Berlin Office,Berlin Office,Not specified,No
Engineering Manager - Product Engineering (f/m/d)*,Not specified,1,Berlin Office; Remotely in Germany,Berlin Office; Remotely in Germany,Not specified,Yes
Enterprise Account Executive - Eastern Europe (f/m/d)*,Not specified,1,Remotely in Germany,Remotely in Germany,Not specified,Yes
