title,department,location,posting_date,remote,region,url
Business Development Executive - Southern Europe (f/m/d)*,Not specified,Berlin Office,2026-02-18T10:03:55-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4752757101
EMEA Field Marketing Manager (f/m/d)*,Not specified,Berlin Office,2026-02-17T09:49:52-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4783662101
Enterprise Account Executive (f/m/d)*,Not specified,Remotely in Europe ,2026-02-17T04:52:56-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4752593101
Enterprise Account Executive (f/m/d)*,Not specified,Berlin Office; Munich Office; Remotely in Germany,2026-02-17T04:52:54-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4738000101
RVP - Central,Not specified,Remotely in the USA,2026-02-17T14:18:45-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4784865101
RVP - East,Not specified,Remotely in the USA,2026-02-17T14:17:34-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4784861101
"RVP - East, West , Central ",Not specified,Remotely in the USA,2026-02-17T14:14:38-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4663019101
RVP - West,Not specified,Remotely in the USA,2026-02-17T14:17:43-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4784860101
Senior Partnerships Manager - Spain/Italy,Not specified,Madrid; Remotely in Spain,2026-02-19T15:02:45-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4786707101
Senior Partnerships Manager - UKI and Northern Europe,Not specified,London,2026-02-19T15:07:00-05:00,No,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4771240101
