date,total_jobs,top_departments
2026-02-20,5,Not specified: 5
2026-02-21,5,Not specified: 5
2026-02-22,5,Not specified: 5
2026-02-23,5,Not specified: 5
2026-02-24,5,Not specified: 5
2026-02-25,6,Not specified: 6
2026-02-26,7,Not specified: 7
2026-02-27,6,Not specified: 6
2026-02-28,6,Not specified: 6
2026-03-01,6,Not specified: 6
2026-03-02,6,Not specified: 6
2026-03-03,6,Not specified: 6
2026-03-04,6,Not specified: 6
2026-03-05,5,Not specified: 5
2026-03-06,5,Not specified: 5
2026-03-07,5,Not specified: 5
2026-03-08,5,Not specified: 5
2026-03-09,5,Not specified: 5
2026-03-10,5,Not specified: 5
2026-03-11,5,Not specified: 5
2026-03-12,5,Not specified: 5
2026-03-13,5,Not specified: 5
