date,total_jobs,top_departments
2026-01-03,34,Not specified: 34
2026-01-05,34,Not specified: 34
2026-01-14,98,Engineering: 26; Sales: 19; Information Technology: 14; Customer Solutions: 6; Marketing: 5
2026-01-21,111,Engineering: 25; Sales: 20; Information Technology: 13; Marketing: 7; Customer Solutions: 5
2026-01-27,124,Sales: 24; Engineering: 23; Information Technology: 13; Austin: 9; Marketing: 7
2026-01-28,130,Engineering: 26; Sales: 24; Information Technology: 13; Austin: 9; Marketing: 7
2026-01-29,136,Engineering: 28; Sales: 24; Information Technology: 15; Austin: 11; Marketing: 8
2026-01-30,138,Engineering: 29; Sales: 23; Information Technology: 16; Austin: 11; Marketing: 8
2026-01-31,146,Engineering: 29; Sales: 25; Information Technology: 15; Marketing: 10; Austin: 10
2026-02-01,146,Engineering: 29; Sales: 25; Information Technology: 15; Marketing: 10; Austin: 10
2026-02-02,144,Engineering: 29; Sales: 25; Information Technology: 15; Marketing: 10; Austin: 10
2026-02-03,148,Engineering: 30; Sales: 26; Information Technology: 14; Austin: 11; Marketing: 10
2026-02-04,155,Engineering: 30; Sales: 29; Information Technology: 14; Marketing: 12; Austin: 11
2026-02-05,162,Engineering: 33; Sales: 29; Information Technology: 16; Marketing: 12; Austin: 11
2026-02-06,166,Engineering: 32; Sales: 29; Information Technology: 15; Marketing: 11; Austin: 11
2026-02-07,163,Engineering: 31; Sales: 29; Information Technology: 15; Marketing: 11; Austin: 11
2026-02-08,163,Engineering: 31; Sales: 29; Information Technology: 15; Marketing: 11; Austin: 11
2026-02-09,163,Engineering: 31; Sales: 29; Information Technology: 15; Marketing: 11; Austin: 11
2026-02-10,168,Engineering: 31; Sales: 29; Information Technology: 17; Austin: 12; Marketing: 11
2026-02-11,168,Sales: 30; Engineering: 30; Information Technology: 17; Austin: 12; Customer Success: 11
2026-02-12,171,Engineering: 31; Sales: 30; Information Technology: 18; Austin: 12; Customer Success: 11
2026-02-13,171,Engineering: 34; Sales: 30; Information Technology: 18; Austin: 12; Customer Success: 11
