date,total_jobs,top_departments
2026-01-03,40,Not specified: 40
2026-01-05,40,Not specified: 40
2026-01-14,40,Not specified: 40
2026-01-21,40,Not specified: 40
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,97,Not specified: 97
2026-02-08,97,Not specified: 97
2026-02-09,96,Not specified: 96
2026-02-10,99,Not specified: 99
2026-02-11,100,Not specified: 100
2026-02-12,101,Not specified: 101
2026-02-13,103,Not specified: 103
2026-02-14,105,Not specified: 105
2026-02-15,105,Not specified: 105
2026-02-16,105,Not specified: 105
