date,total_jobs,top_departments
2026-01-27,50,Not specified: 50
2026-01-28,49,Not specified: 49
2026-01-29,49,Not specified: 49
2026-01-30,50,Not specified: 50
2026-01-31,50,Not specified: 50
2026-02-01,50,Not specified: 50
2026-02-02,50,Not specified: 50
2026-02-03,50,Not specified: 50
2026-02-04,50,Not specified: 50
2026-02-05,50,Not specified: 50
2026-02-06,50,Not specified: 50
2026-02-07,50,Not specified: 50
2026-02-08,50,Not specified: 50
2026-02-09,50,Not specified: 50
2026-02-10,50,Not specified: 50
2026-02-11,50,Not specified: 50
2026-02-12,50,Not specified: 50
