date,total_jobs,top_departments
2026-01-27,16,Engineering: 8; Sales: 4; Recruiting: 2; Marketing: 1; Product: 1
2026-01-28,16,Engineering: 8; Sales: 4; Recruiting: 2; Marketing: 1; Product: 1
2026-01-29,16,Engineering: 8; Sales: 4; Recruiting: 2; Marketing: 1; Product: 1
2026-01-30,17,Engineering: 9; Sales: 4; Recruiting: 2; Marketing: 1; Product: 1
2026-01-31,21,Engineering: 9; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-01,21,Engineering: 9; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-02,21,Engineering: 9; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-03,21,Engineering: 9; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-04,21,Engineering: 9; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-05,23,Engineering: 10; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-06,23,Engineering: 10; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-07,23,Engineering: 10; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-08,23,Engineering: 10; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-09,23,Engineering: 10; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-10,22,Engineering: 10; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-11,21,Engineering: 9; Sales: 5; Marketing: 4; Recruiting: 2; Product: 1
2026-02-12,22,Engineering: 9; Sales: 5; Marketing: 5; Recruiting: 2; Product: 1
2026-02-13,22,Engineering: 9; Sales: 5; Marketing: 5; Recruiting: 2; Product: 1
2026-02-14,22,Engineering: 9; Sales: 5; Marketing: 5; Recruiting: 2; Product: 1
2026-02-15,22,Engineering: 9; Sales: 5; Marketing: 5; Recruiting: 2; Product: 1
2026-02-16,22,Engineering: 9; Sales: 5; Marketing: 5; Recruiting: 2; Product: 1
2026-02-20,27,Engineering: 10; Sales: 5; Marketing: 5; Talent: 4; G&A: 2
2026-02-21,27,Engineering: 10; Sales: 5; Marketing: 5; Talent: 4; G&A: 2
2026-02-22,27,Engineering: 10; Sales: 5; Marketing: 5; Talent: 4; G&A: 2
2026-02-23,27,Engineering: 10; Sales: 5; Marketing: 5; Talent: 4; G&A: 2
2026-02-24,27,Engineering: 10; Sales: 5; Marketing: 5; Talent: 4; G&A: 2
2026-02-25,25,Engineering: 10; Sales: 5; Marketing: 4; Talent: 3; G&A: 2
2026-02-26,25,Engineering: 10; Sales: 5; Marketing: 4; Talent: 3; G&A: 2
2026-02-27,25,Engineering: 10; Sales: 5; Marketing: 4; Talent: 3; G&A: 2
2026-02-28,25,Engineering: 10; Sales: 5; Marketing: 5; Talent: 2; G&A: 2
2026-03-01,25,Engineering: 10; Sales: 5; Marketing: 5; Talent: 2; G&A: 2
2026-03-02,25,Engineering: 10; Sales: 5; Marketing: 5; Talent: 2; G&A: 2
2026-03-03,25,Engineering: 10; Sales: 5; Marketing: 5; Talent: 2; G&A: 2
2026-03-04,26,Engineering: 10; Sales: 5; Marketing: 5; G&A: 3; Talent: 2
2026-03-05,26,Engineering: 10; Sales: 5; Marketing: 5; G&A: 3; Talent: 2
2026-03-06,27,Engineering: 10; Sales: 5; Marketing: 5; G&A: 3; Talent: 2
2026-03-07,27,Engineering: 10; Sales: 5; Marketing: 5; G&A: 3; Talent: 2
2026-03-08,27,Engineering: 10; Sales: 5; Marketing: 5; G&A: 3; Talent: 2
2026-03-09,27,Engineering: 10; Sales: 5; Marketing: 5; G&A: 3; Talent: 2
2026-03-10,29,Engineering: 10; Marketing: 7; Sales: 5; G&A: 3; Talent: 2
2026-03-11,29,Engineering: 10; Marketing: 7; Sales: 5; G&A: 3; Talent: 2
2026-03-12,29,Engineering: 10; Marketing: 7; Sales: 5; G&A: 3; Talent: 2
