title,department,location,posting_date,remote,region,url
Mid-Market Account Executive,Sales,San Francisco,2025-10-21T05:13:36.912+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/77514f30-6a54-4bb3-b9aa-28b86f6ce7c6
Sr. GTM Recruiter,Recruiting,San Francisco,2025-10-21T05:46:05.450+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/91274bc2-d730-40b3-b52b-32ccfe602416
Head of Forward Deployed Engineering,Engineering,San Francisco,2025-10-21T05:38:53.642+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/9e529850-07ca-4317-817e-21630f63192e
GTM Engineer,Marketing,San Francisco,2025-08-12T04:38:49.411+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/e72be29c-ce13-49d3-9445-0e0e7c0fae20
Head of AI Engineering,Engineering,San Francisco,2025-08-12T04:56:47.524+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/97829eb5-8bd9-4a6d-a04c-f4dfa1779674
Senior Frontend Engineer,Engineering,San Francisco,2025-08-12T05:01:18.086+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/a6cb109f-143d-4b46-b77a-1f1cb622a62b
Senior Fullstack Engineer,Engineering,San Francisco,2025-08-12T05:05:12.125+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/e76eb6d6-700b-41ec-97ec-6e4a1660e390
Senior Backend Engineer,Engineering,San Francisco,2025-08-12T05:09:34.376+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/7928f65b-538e-422f-8c82-cf69910411cc
Product Designer,Product,San Francisco,2025-08-12T05:14:20.308+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/f71a1d3f-9c1b-485e-964b-58e071510eac
Sr. Technical Recruiter,Recruiting,San Francisco,2025-08-12T05:21:54.570+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/dd399b0a-f312-424b-9b48-f48c331c6fb8
Forward Deployed Engineer,Engineering,San Francisco,2025-07-26T21:50:15.926+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/f55f33e2-f273-4267-b94d-5c94fdcac7d6
Applied AI Engineer,Engineering,San Francisco,2025-11-14T01:56:54.599+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/2bfaede4-22b2-43b2-a14c-f45e5f398624
Strategic Account Executive,Sales,San Francisco,2025-12-11T02:46:33.476+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/7a429d2f-f3d5-4ba9-97d8-133374a65278
Enterprise Account Executive,Sales,San Francisco,2025-12-11T02:49:53.466+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/5d3e213d-cdda-458e-a57f-b39ab1cb7456
Revenue Strategy & Operations Lead,Sales,San Francisco,2025-12-11T06:01:54.925+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/abf9404e-4e0b-4d4b-afb8-b6b50aa5b808
Customer Success Engineer,Engineering,San Francisco,2025-12-31T17:03:43.326+00:00,No,Not specified,https://jobs.ashbyhq.com/Serval/c0a7f8e9-17d8-438c-9944-f0455a71c8bf
