date,total_jobs,top_departments
2026-01-05,20,: 20
2026-01-14,19,: 19
2026-01-21,18,: 18
2026-01-27,17,: 17
2026-01-28,18,: 18
2026-01-29,18,: 18
2026-01-30,17,: 17
2026-01-31,18,: 18
2026-02-01,18,: 18
2026-02-02,18,: 18
2026-02-03,19,: 19
2026-02-04,18,: 18
2026-02-05,18,: 18
2026-02-06,17,: 17
2026-02-07,15,: 15
2026-02-08,15,: 15
2026-02-09,15,: 15
2026-02-10,15,: 15
2026-02-11,16,: 16
2026-02-12,19,: 19
2026-02-13,19,: 19
2026-02-14,19,: 19
2026-02-15,19,: 19
2026-02-16,19,: 19
2026-02-20,12,: 12
2026-02-21,14,: 14
2026-02-22,14,: 14
