date,total_jobs,top_departments
2026-01-27,125,Engineering: 31; Operations: 26; Product: 25; Sales: 22; Marketing & Communications: 8
2026-01-28,125,Engineering: 31; Operations: 26; Product: 25; Sales: 22; Marketing & Communications: 8
2026-01-29,125,Engineering: 31; Operations: 26; Product: 25; Sales: 22; Marketing & Communications: 8
2026-01-30,126,Engineering: 31; Operations: 27; Product: 25; Sales: 21; Marketing & Communications: 8
2026-01-31,125,Engineering: 31; Operations: 26; Product: 25; Sales: 21; Marketing & Communications: 8
2026-02-01,125,Engineering: 31; Operations: 26; Product: 25; Sales: 21; Marketing & Communications: 8
2026-02-02,125,Engineering: 31; Operations: 26; Product: 25; Sales: 21; Marketing & Communications: 8
2026-02-03,125,Engineering: 31; Operations: 26; Product: 25; Sales: 22; Marketing & Communications: 8
2026-02-04,125,Engineering: 31; Operations: 26; Product: 25; Sales: 22; Marketing & Communications: 8
2026-02-05,128,Engineering: 32; Operations: 26; Product: 25; Sales: 22; Marketing & Communications: 8
2026-02-06,129,Engineering: 32; Operations: 26; Product: 25; Sales: 23; Marketing & Communications: 8
2026-02-07,133,Engineering: 31; Operations: 26; Product: 26; Sales: 23; Marketing & Communications: 8
2026-02-08,133,Engineering: 31; Operations: 26; Product: 26; Sales: 23; Marketing & Communications: 8
2026-02-09,133,Engineering: 31; Operations: 26; Product: 26; Sales: 23; Marketing & Communications: 8
2026-02-10,134,Engineering: 31; Operations: 26; Product: 26; Sales: 24; Marketing & Communications: 8
2026-02-11,136,Engineering: 31; Product: 28; Operations: 27; Sales: 23; Marketing & Communications: 8
2026-02-12,139,Engineering: 31; Product: 28; Operations: 27; Sales: 23; Marketing & Communications: 11
2026-02-13,146,Engineering: 33; Product: 33; Operations: 27; Sales: 23; Marketing & Communications: 10
2026-02-14,152,Engineering: 33; Product: 33; Operations: 27; Sales: 23; Legal: 12
2026-02-15,152,Engineering: 33; Product: 33; Operations: 27; Sales: 23; Legal: 12
2026-02-16,152,Engineering: 33; Product: 33; Operations: 27; Sales: 23; Legal: 12
2026-02-20,152,Product: 34; Engineering: 33; Operations: 27; Sales: 23; Legal: 11
