title,department,location,posting_date,remote,region,url
Sales Engineer,Sales,"San Francisco, CA",2024-01-28T00:45:22.039+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/8152eaf6-012b-4154-95e2-7d6c52faba93
Enterprise Account Executive,Sales,"Atlanta, GA",2025-03-13T19:11:02.570+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/e4e0b449-57a7-4565-9fe1-30308587f6d1
High Growth Enterprise Account Executive,Sales,"Atlanta, GA",2026-02-05T19:32:13.307+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/8da2071d-5e2f-43da-9bb1-2c7b30c078af
Enterprise Account Executive,Sales,US - Remote,2024-07-12T05:35:07.114+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/41e66706-b647-4ab1-8c7f-8f2975babba7
"Software Engineer, Platform",Engineering,"San Francisco, CA",2024-08-28T22:10:59.372+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/d77487f9-bab3-44c6-be18-744e7125c8b3
Brand Visual Designer (Contract),Marketing & Communications,"San Francisco, CA",2025-08-19T20:29:22.296+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/a5402a9c-d0ea-4e60-a1bc-68574d54950f
Recruiting Coordinator (Contract),Operations,"San Francisco, CA",2025-06-26T21:55:33.673+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/7b187556-fda6-4b17-8df1-a93279573876
"Product Manager, Agent Platform",Product,"San Francisco, CA",2025-08-31T03:14:37.552+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/422cb7bb-ab03-447b-808c-6d72f59bbd2f
"Product Manager, Agent Development",Product,"San Francisco, CA",2025-05-07T23:38:31.884+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/effd7cd2-8a28-4bae-a3b8-40720ba09717
"Enterprise Account Executive, Europe",Sales,London,2025-04-11T23:09:39.816+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9501ffa2-b433-4f51-b7f0-d8e53e37442d
"Software Engineer, Agent",Engineering,London,2025-02-13T20:44:17.436+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/b7d1dbcd-ca72-472f-b15e-5b4b0f886be0
Product Designer,Product Design,"San Francisco, CA",2025-02-17T23:20:49.456+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ba780c1d-ebd7-45b8-8c99-12666af5bfa3
"Product Manager, Agent Development (German speaking)",Product,London,2025-08-21T19:29:19.304+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/fed8ca9a-0bb7-44ef-a541-0be6a8ae7bba
"Software Engineer, Agent",Engineering,"San Francisco, CA",2025-04-18T20:23:18.804+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/e9f5fdb6-91ee-4c55-9230-41ec8865650e
Sales Engineer,Sales,"New York, NY",2025-10-07T16:32:23.989+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/3982fc78-5473-46c6-b4f2-de4c9864e079
Sales Engineer,Sales,"Atlanta, GA",2025-10-07T16:32:50.331+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/b2a698ce-aacf-4ea5-a8ab-6068a52ac0df
"Product Manager, Agent Development",Product,London,2025-04-08T21:29:16.254+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/b4b762e6-8ce7-4ea7-b9b3-40c04f62135a
Security Engineer,Engineering,"San Francisco, CA",2025-04-30T04:19:10.982+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/bbef339c-3365-40df-804b-ece245386b43
Sales Engineer (German speaking),Sales,London,2026-01-14T19:44:07.529+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/c56c272f-86e0-43c8-b3eb-6f6b1cec3b36
Sales Engineer (Spanish speaking),Sales,London,2026-01-14T19:43:45.083+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/916c91c4-1f5d-45e4-9214-fb766cdabba1
Sales Engineer (French speaking),Sales,London,2026-01-14T19:43:10.192+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ecbaa355-c644-471a-ac11-07a21ee0c543
"Software Engineer, Agent",Engineering,"New York, NY",2025-05-07T15:56:52.979+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/c0003c50-f3e9-4096-8553-45fc1b7c7f91
Enterprise Account Executive,Sales,"New York, NY",2025-05-07T17:55:13.851+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/fc32bd9c-0a04-4e33-ae76-6246f7837522
Developer Relations Engineer,Partnerships,"San Francisco, CA",2025-05-20T22:08:34.082+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/7053ca02-ee36-48cc-b331-9d795a966c4c
Product Marketing Manager,Marketing & Communications,"San Francisco, CA",2026-01-13T22:31:09.908+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/66324233-f3af-496a-b43d-ebe1a6a0e2d0
"Software Engineer, Frontend",Engineering,"San Francisco, CA",2025-06-04T04:50:18.696+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/f391b10c-7a4a-42b4-9887-dd32b31d6e4e
Presentation Designer,Marketing & Communications,"San Francisco, CA",2026-02-11T16:12:10.436+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/fd955efb-b782-4be3-ae81-30b5d75d8a3d
"Strategist, Agent Development",Product,London,2025-06-12T17:19:05.111+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/548eccd8-85c7-4cfa-a145-1c6ba5c17dc2
"Product Manager, Agent Development",Product,"New York, NY",2025-09-26T08:58:40.950+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/7860c3f1-d332-452e-ab7c-6be48084f5bf
"Product Manager, Agent Development (French speaking)",Product,London,2025-08-21T19:29:47.706+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/38f06024-4ee9-47d6-a36f-f2791ac1e412
"Operations Manager, Product & Engineering",Operations,"San Francisco, CA",2025-12-23T22:54:45.689+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/5b2b078a-748b-492c-b07c-5aba8cb72b27
GTM Operations Analyst,Operations,Singapore,2025-11-26T01:01:18.454+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/851f75b0-e356-4670-b028-e14639f03b0b
"Product Manager, Agent Development (Spanish speaking)",Product,London,2025-08-21T19:31:58.791+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/4892f01e-8871-4b32-8963-527f1cf8db5d
"Strategist, Agent Development",Product,"San Francisco, CA",2025-07-29T00:28:56.262+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/c25ca18c-dbe6-439d-9a40-ce23b40c323c
"Software Engineer, Infrastructure",Engineering,"San Francisco, CA",2025-10-15T22:18:31.628+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/55e76105-7f8d-42e8-b1d1-120b7b83922e
Recruiting Coordinator (Contract),Operations,London,2025-11-18T19:38:09.394+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/13792681-ae44-406c-9f4f-0155b70e7df3
"Enterprise Account Executive, Europe (German speaking)",Sales,London,2025-08-21T19:26:06.406+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/39c1ed90-786b-41c6-943e-7c2427f90043
APX (New Grad),Early Career,"San Francisco, CA",2025-09-01T21:47:49.117+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9738d0f0-13be-4e89-9fba-505e7cac288f
