title,department,openings,locations,all_locations,regions,remote_available
"Software Engineer, Agent",Engineering,9,"Atlanta, GA; London; Madrid (and 6 more)","Atlanta, GA | London | Madrid | Munich | New York, NY | Paris | San Francisco, CA | Singapore | Tokyo",Not specified,Yes
Enterprise Account Executive,Sales,6,"Atlanta, GA; Canada - Remote; New York, NY (and 3 more)","Atlanta, GA | Canada - Remote | New York, NY | San Francisco, CA | Tokyo | US - Remote",Not specified,Yes
"Product Manager, Agent Development",Product,5,"Atlanta, GA; London; New York, NY (and 2 more)","Atlanta, GA | London | New York, NY | San Francisco, CA | Singapore",Not specified,No
Business Recruiter,Operations,4,"Atlanta, GA; London; New York, NY (and 1 more)","Atlanta, GA | London | New York, NY | San Francisco, CA",Not specified,No
Commercial Counsel,Legal,4,"Atlanta, GA; London; New York, NY (and 1 more)","Atlanta, GA | London | New York, NY | San Francisco, CA",Not specified,No
Recruiting Coordinator (Contract),Operations,4,"London; New York, NY; San Francisco, CA (and 1 more)","London | New York, NY | San Francisco, CA | Singapore",Not specified,No
Sales Engineer,Sales,4,"Atlanta, GA; New York, NY; San Francisco, CA (and 1 more)","Atlanta, GA | New York, NY | San Francisco, CA | US - Remote",Not specified,Yes
"Strategist, Agent Development",Product,4,"London; New York, NY; San Francisco, CA (and 1 more)","London | New York, NY | San Francisco, CA | Singapore",Not specified,No
Technical Recruiter,Operations,4,"Atlanta, GA; London; New York, NY (and 1 more)","Atlanta, GA | London | New York, NY | San Francisco, CA",Not specified,No
Developer Relations Engineer,Partnerships,3,"London; New York, NY; San Francisco, CA","London | New York, NY | San Francisco, CA",Not specified,No
"Software Engineer, Agent (New Grad)",Early Career,3,"London; New York, NY; San Francisco, CA","London | New York, NY | San Francisco, CA",Not specified,No
"Enterprise Account Executive, Europe",Sales,2,London; Munich,London | Munich,Not specified,Yes
Enterprise Sales Leader,Sales,2,Paris; US - Remote,Paris | US - Remote,Not specified,Yes
"Strategist, Agent Development (French speaking)",Product,2,London; Paris,London | Paris,Not specified,Yes
"Strategist, Agent Development (Spanish speaking)",Product,2,London; Madrid,London | Madrid,Not specified,Yes
University Recruiter,Operations,2,"New York, NY; San Francisco, CA","New York, NY | San Francisco, CA",Not specified,No
APX (New Grad),Early Career,1,"San Francisco, CA","San Francisco, CA",Not specified,No
"Agent Experience Designer, Voice (Multilingual)",Product Design,1,"San Francisco, CA","San Francisco, CA",Not specified,No
Brand Visual Designer (Contract),Marketing & Communications,1,"San Francisco, CA","San Francisco, CA",Not specified,No
Business Development,Partnerships,1,"San Francisco, CA","San Francisco, CA",Not specified,No
Business Systems Engineer,Operations,1,"San Francisco, CA","San Francisco, CA",Not specified,No
Communications Manager,Marketing & Communications,1,"San Francisco, CA","San Francisco, CA",Not specified,No
Customer Marketer,Marketing & Communications,1,"San Francisco, CA","San Francisco, CA",Not specified,No
