title,department,location,posting_date,remote,region,url
Brand Designer ,Marketing & Communications,"San Francisco, CA",2025-08-19T20:29:22.296+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/a5402a9c-d0ea-4e60-a1bc-68574d54950f
Security Technical Program Manager,Compliance,"San Francisco, CA",2026-02-12T22:33:56.836+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/53a8fd83-3e58-41a4-b014-2da447db820b
"Product Manager, Developer Experience",Product,"San Francisco, CA",2026-02-07T02:55:55.372+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/c84a16e1-1e65-45d6-a2e5-a0394d7a6b87
"Strategist, Agent Development",Product,Tokyo,2026-02-12T15:28:47.462+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/757f6d53-8849-46b5-b23e-184753c05e62
Security and Compliance Manager,Compliance,"San Francisco, CA",2026-02-12T22:34:40.748+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/687a56db-9f2a-42f9-94a0-fa06730c1e10
"Software Engineer, Agent - Healthcare",Engineering,"New York, NY",2026-02-12T22:38:22.545+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/f3308520-6d7d-45ac-b96d-3f5a5012e6c9
"Software Engineer, Agent - Healthcare",Engineering,"San Francisco, CA",2026-02-12T22:38:25.578+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/52375d9d-ae30-40b7-811e-b269a8f23fd3
"Product Manager, Agent Development - Healthcare",Product,"New York, NY",2026-02-12T19:44:11.623+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/15bc7c3f-9136-40aa-b4fb-4df20be64d47
"Product Manager, Agent Development - Healthcare",Product,"San Francisco, CA",2026-02-12T22:38:43.794+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/5785a5f0-85cc-43e5-98bb-64a0103548d8
"Strategist, Agent Development - Healthcare",Product,"San Francisco, CA",2026-02-12T22:38:56.474+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/03f82462-4be9-4bec-8cb8-f94a9dfd0eba
"Strategist, Agent Development - Healthcare",Product,"New York, NY",2026-02-12T22:38:54.561+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/8682411f-0011-4cf5-8314-624a4dbacddf
Security and Compliance Manager,Compliance,London,2026-02-12T23:36:36.160+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/96cf837f-5488-4883-b3ab-3cd7fc775977
