date,total_jobs,top_departments
2026-01-03,35,Not specified: 35
2026-01-05,35,Not specified: 35
2026-01-14,43,Not specified: 43
2026-01-21,49,Not specified: 49
2026-01-27,61,Not specified: 61
2026-01-28,60,Not specified: 60
2026-01-29,57,Not specified: 57
2026-01-30,56,Not specified: 56
2026-01-31,51,Not specified: 51
2026-02-01,51,Not specified: 51
2026-02-02,51,Not specified: 51
2026-02-03,50,Not specified: 50
2026-02-04,51,Not specified: 51
2026-02-05,53,Not specified: 53
2026-02-06,51,Not specified: 51
2026-02-07,50,Not specified: 50
2026-02-08,50,Not specified: 50
2026-02-09,50,Not specified: 50
2026-02-10,48,Not specified: 48
2026-02-11,51,Not specified: 51
2026-02-12,56,Not specified: 56
2026-02-13,58,Not specified: 58
2026-02-14,57,Not specified: 57
2026-02-15,57,Not specified: 57
2026-02-16,57,Not specified: 57
2026-02-20,48,Not specified: 48
