title,department,location,posting_date,remote,region,url
Sr. Security Engineer,Not specified,US MN Minneapolis Office,Posted 3 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/US-MN-Minneapolis-Office/Sr-Security-Engineer_R-000176-1
Technical Product Owner (Workday),Not specified,US MN Minneapolis Office,Posted 4 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/US-MN-Minneapolis-Office/Technical-Product-Owner--Workday-_R-000186
Account Executive,Not specified,CA ON Toronto Office,Posted 4 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/CA-ON-Toronto-Office/Account-Executive_R-000260
Strategic Account Executive - Analytics,Not specified,US MN Minneapolis Office,Posted 4 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/US-MN-Minneapolis-Office/Strategic-Account-Executive---Analytics_R-000297
Consultant I,Not specified,Philippines Remote,Posted 4 Days Ago,Yes,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/Philippines-Remote/Consultant-I_R-000234
Senior Recruiter - Campus Focused,Not specified,US MN Minneapolis Office,Posted 6 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/US-MN-Minneapolis-Office/Senior-Recruiter---Campus-Focused_R-000237
"Supplier Sales, Small and Emerging Markets - Strategic Account Executive",Not specified,US MN Minneapolis Office,Posted 9 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/US-MN-Minneapolis-Office/Supplier-Sales--Small-and-Emerging-Markets---Strategic-Account-Executive_R-000273-1
Account Executive - Enterprise,Not specified,US AR Rogers Office,Posted 10 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/US-AR-Rogers-Office/Account-Executive---Enterprise_2025-9892
Training Content Developer,Not specified,US MN Minneapolis Office,Posted 10 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/US-MN-Minneapolis-Office/Training-Content-Developer_R-000214
Channel Sales Manager,Not specified,CA ON Toronto Office,Posted 10 Days Ago,No,Not specified,https://spscommerce.wd108.myworkdayjobs.com/en-US/SPS/job/CA-ON-Toronto-Office/Channel-Sales-Manager_2025-9953-1
