date,total_jobs,top_departments
2026-01-14,232,Sales: 145; Engineering: 30; Product: 11; Customer Success: 8; People & Places: 8
2026-01-21,226,Sales: 139; Engineering: 29; Product: 12; Customer Success: 10; People & Places: 8
2026-01-27,255,Sales: 159; Engineering: 27; Product: 12; Customer Success: 11; People & Places: 10
2026-01-28,251,Sales: 150; Engineering: 27; Product: 13; Customer Success: 11; People & Places: 10
2026-01-29,264,Sales: 164; Engineering: 28; Product: 12; Customer Success: 10; People & Places: 10
2026-01-30,242,Sales: 146; Engineering: 26; Product: 12; Customer Success: 11; People & Places: 9
2026-01-31,240,Sales: 138; Engineering: 28; Product: 15; Customer Success: 9; Marketing: 9
2026-02-01,241,Sales: 138; Engineering: 28; Product: 15; Finance: 9; Customer Success: 9
2026-02-02,239,Sales: 138; Engineering: 27; Product: 15; Customer Success: 9; Marketing: 9
2026-02-03,234,Sales: 131; Engineering: 26; Product: 16; Finance: 9; Customer Success: 9
2026-02-04,241,Sales: 139; Engineering: 26; Product: 15; Customer Success: 10; People & Places: 9
2026-02-05,262,Sales: 156; Engineering: 27; Product: 15; Legal: 11; Customer Success: 10
2026-02-06,261,Sales: 152; Engineering: 29; Product: 15; Legal: 11; Finance: 10
2026-02-07,254,Sales: 141; Engineering: 31; Product: 16; Legal: 11; Finance: 10
2026-02-08,254,Sales: 141; Engineering: 31; Product: 16; Legal: 11; Finance: 10
2026-02-09,251,Sales: 139; Engineering: 30; Product: 16; Legal: 11; Finance: 10
2026-02-10,239,Sales: 127; Engineering: 29; Product: 16; Enterprise Tech: 11; Finance: 10
2026-02-11,286,Sales: 166; Engineering: 33; Product: 16; People & Places: 12; Legal: 11
2026-02-12,301,Sales: 175; Engineering: 35; Product: 16; Finance: 12; People & Places: 12
2026-02-13,303,Sales: 171; Engineering: 40; Product: 16; Legal: 12; Enterprise Tech: 12
2026-02-14,286,Sales: 154; Engineering: 42; Product: 15; Legal: 12; Enterprise Tech: 12
2026-02-15,288,Sales: 156; Engineering: 42; Product: 15; Legal: 12; Enterprise Tech: 12
2026-02-16,284,Sales: 154; Engineering: 42; Product: 15; Legal: 12; Enterprise Tech: 12
2026-02-20,272,Sales: 143; Engineering: 41; Product: 16; Legal: 14; Enterprise Tech: 13
2026-02-21,270,Sales: 139; Engineering: 41; Product: 16; Legal: 14; People & Places: 13
2026-02-22,270,Sales: 139; Engineering: 41; Product: 16; Legal: 14; People & Places: 13
2026-02-23,273,Sales: 142; Engineering: 42; Product: 16; Legal: 14; People & Places: 13
2026-02-24,277,Sales: 144; Engineering: 44; Product: 16; Legal: 14; Enterprise Tech: 14
2026-02-25,272,Sales: 139; Engineering: 42; Product: 17; Enterprise Tech: 14; People & Places: 13
2026-02-26,269,Sales: 141; Engineering: 39; Product: 18; Enterprise Tech: 14; People & Places: 13
2026-02-27,267,Sales: 140; Engineering: 38; Product: 18; People & Places: 13; Enterprise Tech: 13
2026-02-28,274,Sales: 137; Engineering: 36; Product: 16; Enterprise Tech: 15; Finance: 13
2026-03-01,275,Sales: 137; Engineering: 37; Product: 16; Enterprise Tech: 15; Finance: 13
2026-03-02,273,Sales: 137; Engineering: 36; Product: 16; Enterprise Tech: 15; Finance: 13
2026-03-03,276,Sales: 145; Engineering: 36; Enterprise Tech: 16; Product: 15; Finance: 13
2026-03-04,280,Sales: 148; Engineering: 36; Enterprise Tech: 16; Product: 14; Finance: 13
