title,department,openings,locations,all_locations,regions,remote_available
Bilingual Business Development Representative (Mandarin),Sales,16,"Austin, Texas, United States; Cincinnati, Ohio, United States; Cleveland, Ohio, United States (and 13 more)","Austin, Texas, United States | Cincinnati, Ohio, United States | Cleveland, Ohio, United States | Columbus, Ohio, United States | Dallas, Texas, United States | Houston, Texas, United States | Jacksonville, Florida, United States | Jersey City, New Jersey, United States | Miami, Florida, United States | New York, United States | Orlando, Florida, United States | Philadelphia, Pennsylvania, United States | Remote, United States | San Antonio, Texas, United States | Seattle, Washington, United States | Tampa, Florida, United States",Not specified,Yes
Hybrid Development Representative,Sales,8,"Cincinnati, Ohio, United States; Cleveland, Ohio, United States; Columbus, Ohio, United States (and 5 more)","Cincinnati, Ohio, United States | Cleveland, Ohio, United States | Columbus, Ohio, United States | Jersey City, New Jersey, United States | Los Angeles, California, United States | Philadelphia, Pennsylvania, United States | San Diego, California, United States | San Francisco, California, United States",Not specified,No
"Territory Account Executive, Retail - Stockton/Modesto, CA",Sales,6,"Atwater, California, United States; Livermore, California, United States; Modesto, California, United States (and 3 more)","Atwater, California, United States | Livermore, California, United States | Modesto, California, United States | Sacramento, California, United States | Stockton, California, United States | Tracy, California, United States",Not specified,No
Flex Growth Account Executive,Sales,4,"Austin, Texas, United States; Dallas, Texas, United States; Houston, Texas, United States (and 1 more)","Austin, Texas, United States | Dallas, Texas, United States | Houston, Texas, United States | Pittsburgh, Pennsylvania, United States",Not specified,No
"Territory Account Executive, Retail - ABQ, NM (Spanish/Bilingual)",Sales,4,"Albuquerque, New Mexico, United States; Clovis, New Mexico, United States; El Paso, Texas, United States (and 1 more)","Albuquerque, New Mexico, United States | Clovis, New Mexico, United States | El Paso, Texas, United States | Santa Fe, New Mexico, United States",Not specified,No
West Coast - Inside Strategic Cuisines Account Executive - Spanish,Sales,4,"Las Vegas, Nevada, United States; San Diego, California, United States; San Francisco, California, United States (and 1 more)","Las Vegas, Nevada, United States | San Diego, California, United States | San Francisco, California, United States | Seattle, Washington, United States",Not specified,No
Corporate Development Deal Lead,Finance,3,"Boston, Massachusetts, United States; New York, United States; San Francisco, California, United States","Boston, Massachusetts, United States | New York, United States | San Francisco, California, United States",Not specified,No
"Counsel, Partnerships & Commerce",Legal,3,"Boston, Massachusetts, United States; New York, United States; San Francisco, California, United States","Boston, Massachusetts, United States | New York, United States | San Francisco, California, United States",Not specified,No
Growth Account Executive,Sales,3,"Austin, Texas, United States; Dallas, Texas, United States; Houston, Texas, United States","Austin, Texas, United States | Dallas, Texas, United States | Houston, Texas, United States",Not specified,No
"Manager, Consumer Protection & AI Compliance",Legal,3,"Boston, Massachusetts, United States; New York, United States; San Francisco, California, United States","Boston, Massachusetts, United States | New York, United States | San Francisco, California, United States",Not specified,No
"Senior Data Analyst (Finance, Strategy & Analytics)",Finance,3,"Boston, Massachusetts, United States; New York, United States; San Francisco, California, United States","Boston, Massachusetts, United States | New York, United States | San Francisco, California, United States",Not specified,No
"Territory Account Executive, Retail - East North Carolina",Sales,3,"Fayetteville, North Carolina, United States; Myrtle Beach, South Carolina, United States; Wilmington, North Carolina, United States","Fayetteville, North Carolina, United States | Myrtle Beach, South Carolina, United States | Wilmington, North Carolina, United States",Not specified,No
"Territory Account Executive, Retail - West Houston, TX",Sales,3,"Houston, Texas, United States; Katy, Texas, United States; Missouri City, Texas, United States","Houston, Texas, United States | Katy, Texas, United States | Missouri City, Texas, United States",Not specified,No
Customer Growth Account Executive,Sales,2,"Portland, Oregon, United States; Seattle, Washington, United States","Portland, Oregon, United States | Seattle, Washington, United States",Not specified,No
"Enterprise Account Executive, Restaurant Sales",,2,"Denver, Colorado, United States; San Francisco, California, United States","Denver, Colorado, United States | San Francisco, California, United States",Not specified,No
"Flex Strategic Cuisine Territory Account Executive (Spanish/Bilingual)-East Coast, USA",Sales,2,"Long Island, New York, United States; Raleigh, North Carolina, United States","Long Island, New York, United States | Raleigh, North Carolina, United States",Not specified,No
Growth Sales Account Executive,Sales,2,"Oklahoma City, Oklahoma, United States; Springfield, Missouri, United States","Oklahoma City, Oklahoma, United States | Springfield, Missouri, United States",Not specified,No
PeopleHub Partner,People & Places,2,"Boston, Massachusetts, United States; Omaha, Nebraska, United States","Boston, Massachusetts, United States | Omaha, Nebraska, United States",Not specified,No
Senior Data Scientist,Engineering,2,"Bengaluru, Karnataka, India; Remote, United States","Bengaluru, Karnataka, India | Remote, United States",Not specified,Yes
"Senior Software Engineer, Android",Engineering,2,"Costa Mesa, California, United States; Dublin, County Dublin, Ireland","Costa Mesa, California, United States | Dublin, County Dublin, Ireland",Not specified,No
Staff Software Engineer,Engineering,2,"Bengaluru, Karnataka, India; Boston, Massachusetts, United States","Bengaluru, Karnataka, India | Boston, Massachusetts, United States",Not specified,No
"Territory Account Executive , Retail - Chicago, IL",Sales,2,"Aurora, Illinois, United States; Naperville, Illinois, United States","Aurora, Illinois, United States | Naperville, Illinois, United States",Not specified,No
"Territory Account Executive, Retail - East CT",Sales,2,"New Haven, Connecticut, United States; Windham, Connecticut, United States","New Haven, Connecticut, United States | Windham, Connecticut, United States",Not specified,No
"Territory Account Executive, Retail - Jackson/Tuscaloosa",Sales,2,"Jackson, Mississippi, United States; Tuscaloosa, Alabama, United States","Jackson, Mississippi, United States | Tuscaloosa, Alabama, United States",Not specified,No
"Territory Account Executive, Retail - Memphis, TN",Sales,2,"Memphis, Tennessee, United States","Memphis, Tennessee, United States",Not specified,No
"Territory Account Executive, SMB - Cleveland, OH",Sales,2,"Cleveland, Ohio, United States","Cleveland, Ohio, United States",Not specified,No
AI Architect - People Products,People & Places,1,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, India",Not specified,No
Accounting Manager,Finance,1,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, India",Not specified,No
"Associate Counsel, Privacy",Legal,1,"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",Not specified,No
Associate Hardware Quality Engineer,Hardware,1,"Boston, Massachusetts, United States","Boston, Massachusetts, United States",Not specified,No
"Bilingual Mandarin Houston, TX Strategic Cuisines Account Executive",Sales,1,"Houston, Texas, United States","Houston, Texas, United States",Not specified,No
Bilingual Mandarin Strategic Cuisines Flex Account Executive - West Coast,Sales,1,"Los Angeles, California, United States","Los Angeles, California, United States",Not specified,No
Bilingual Thai Strategic Cuisines Account Executive,Sales,1,"Texas, United States","Texas, United States",Not specified,No
Bilingual Thai Strategic Cuisines Account Executive - Northeast,Sales,1,"Boston, Massachusetts, United States","Boston, Massachusetts, United States",Not specified,No
Bilingual Vietnamese Strategic Cuisines Account Executive- Central,Sales,1,"Texas, United States","Texas, United States",Not specified,No
"Bloomington, Indiana Territory Account Executive",Sales,1,"Bloomington, Indiana, United States","Bloomington, Indiana, United States",Not specified,No
Business Continuity Manager,Legal,1,"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",Not specified,No
"Coral Springs, FL Territory Account Executive",Sales,1,"Coral Springs, Florida, United States","Coral Springs, Florida, United States",Not specified,No
Credit Risk Senior Analyst,Fintech,1,"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",Not specified,No
