date,total_jobs,top_departments
2026-01-27,11,Not specified: 11
2026-01-28,10,Not specified: 10
2026-01-29,11,Not specified: 11
2026-01-30,12,Not specified: 12
2026-01-31,16,Not specified: 16
2026-02-01,16,Not specified: 16
2026-02-02,16,Not specified: 16
2026-02-03,16,Not specified: 16
2026-02-04,19,Not specified: 19
2026-02-05,18,Not specified: 18
2026-02-06,26,Not specified: 26
2026-02-07,27,Not specified: 27
2026-02-08,27,Not specified: 27
2026-02-09,27,Not specified: 27
2026-02-10,28,Not specified: 28
2026-02-11,29,Not specified: 29
2026-02-12,32,Not specified: 32
2026-02-13,32,Not specified: 32
2026-02-14,33,Not specified: 33
2026-02-15,34,Not specified: 34
2026-02-16,34,Not specified: 34
