date,total_jobs,top_departments
2026-01-03,945,Professional Services: 200; Engineering: 191; Sales: 111; Business Consulting: 93; Product Management & Alliances: 69
2026-01-05,945,Professional Services: 200; Engineering: 191; Sales: 111; Business Consulting: 93; Product Management & Alliances: 69
2026-01-14,964,Professional Services: 202; Engineering: 189; Sales: 126; Business Consulting: 95; Product Management & Alliances: 68
2026-01-21,964,Professional Services: 203; Engineering: 194; Sales: 131; Business Consulting: 97; Product Management & Alliances: 66
2026-01-27,995,Professional Services: 212; Engineering: 190; Sales: 140; Business Consulting: 92; Product Management & Alliances: 71
2026-01-28,993,Professional Services: 212; Engineering: 190; Sales: 137; Business Consulting: 92; Product Management & Alliances: 72
2026-01-29,990,Professional Services: 212; Engineering: 190; Sales: 134; Business Consulting: 92; Product Management & Alliances: 75
2026-01-30,995,Professional Services: 212; Engineering: 191; Sales: 137; Business Consulting: 93; Product Management & Alliances: 75
2026-01-31,996,Professional Services: 214; Engineering: 191; Sales: 136; Business Consulting: 94; Product Management & Alliances: 77
2026-02-01,1000,Professional Services: 214; Engineering: 191; Sales: 137; Business Consulting: 94; Product Management & Alliances: 77
2026-02-02,1000,Professional Services: 214; Engineering: 191; Sales: 137; Business Consulting: 94; Product Management & Alliances: 77
2026-02-03,997,Professional Services: 214; Engineering: 191; Sales: 137; Business Consulting: 94; Product Management & Alliances: 77
2026-02-04,996,Professional Services: 214; Engineering: 181; Sales: 137; Business Consulting: 94; Product Management & Alliances: 79
2026-02-05,1000,Professional Services: 211; Engineering: 181; Sales: 143; Business Consulting: 94; Product Management & Alliances: 76
2026-02-06,999,Professional Services: 209; Engineering: 181; Sales: 144; Business Consulting: 94; Product Management & Alliances: 79
